Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,3,0,3,0.0%,0,0,0,-,2016,2018,Q1,1,0.81,0.0%,6.1%,62.1%,48.8%,56.0%,51.5%,39.2%,55.6%,25.0%
Roland Garros,3,Clay,7,4,3,57.1%,0,0,0,-,2016,2018,R128,1,0.69,0.0%,3.7%,59.3%,40.6%,40.9%,40.7%,40.7%,25.0%,22.2%
Wimbledon,3,Grass,4,1,3,25.0%,1,0,1,0.0%,2016,2018,Q2,0,,,,,,,,,,
US Open,3,Hard,6,3,3,50.0%,2,2,0,100.0%,2015,2017,Q3,0,,,,,,,,,,
Fed Cup,1,,1,1,0,100.0%,0,0,0,-,2018,2018,,1,2.25,2.5%,7.5%,67.5%,81.5%,61.5%,75.0%,56.4%,50.0%,71.4%
Zhengzhou,2,Hard,2,0,2,0.0%,2,1,1,50.0%,2017,2023,R32,2,0.90,1.1%,4.8%,58.8%,60.0%,48.1%,55.1%,40.4%,50.0%,19.0%
Hiroshima,2,Hard,2,0,2,0.0%,2,0,2,0.0%,2018,2019,R32,2,0.87,0.0%,3.5%,61.8%,57.3%,40.0%,50.7%,42.9%,57.1%,46.2%
Monterrey,2,Hard,6,4,2,66.7%,1,1,0,100.0%,2018,2019,R32,6,1.04,4.0%,4.4%,60.3%,64.3%,47.3%,57.6%,44.0%,62.5%,55.8%
Nanchang,4,Hard,6,2,4,33.3%,1,1,0,100.0%,2015,2018,R16,4,0.83,0.8%,4.3%,69.0%,53.4%,37.5%,48.4%,42.8%,41.0%,48.1%
Mallorca,2,Grass,2,0,2,0.0%,1,1,0,100.0%,2016,2018,Q1,2,0.82,1.2%,0.6%,69.7%,58.3%,58.0%,58.2%,34.1%,55.6%,20.0%
Taipei,3,Hard,6,3,3,50.0%,1,1,0,100.0%,2016,2018,R16,6,1.00,1.8%,4.1%,64.2%,58.4%,43.3%,53.0%,47.0%,46.2%,50.0%
