Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2015,,,,,,,,,,,1673,6,,
2010,1051,5,,,,,,,,,1143,15,,
2009,891,11,,,,,,,,,1016,18,,
2008,1147,5,,,,,,,,,696,51,,
2007,,,,,,,,,,,512,80,,
2006,687,26,,,,,,,,,,,,
2005,191,204,159,1575,140,1548,199,1466,91,1545,125,421,,
2004,95,450,104,1682,88,1654,166,1529,65,1611,126,420,88,1480
2003,51,710,66,1759,49,1750,126,1576,49,1660,88,635,46,1616
2002,42,825,39,1867,23,1858,92,1660,26,1748,23,1750,22,1747
2001,21,1215,25,1902,15,1899,87,1677,17,1774,68,880,,
2000,33,1030,32,1883,26,1842,80,1694,14,1796,41,1330,,
1999,58,803,34,1866,26,1842,88,1670,47,1679,75,890,,
1998,38,983,31,1882,22,1870,86,1707,42,1689,1246,5,,
1997,186,243,174,1591,151,1562,174,1542,,,1161,8,,
1996,479,50,,,,,,,,,1237,2,,
1995,555,,,,,,,,,,,,,
1994,1198,2,,,,,,,,,1104,4,,
