Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2017 Stockton CH R16,W vs Smith,1.23,1.27,56.9,2.9,4.3%,68.1%,2.3%,55.8%,31.6%,47.1%
2017 Stockton CH R32,W vs Auger Aliassime,1.26,1.80,38.2,2.0,0.0%,63.0%,0.0%,64.0%,59.1%,45.5%
2017 US Open R128,L vs Norrie,1.03,0.76,68.6,2.6,2.7%,64.9%,0.0%,50.0%,32.4%,29.7%
2017 Washington R32,L vs Muller,0.74,0.26,28.1,2.0,0.0%,58.3%,10.0%,40.0%,9.5%,27.8%
2017 Washington R64,W vs Krueger,0.99,1.25,71.4,2.5,1.9%,67.3%,2.2%,67.4%,40.0%,42.9%
2017 Hamburg R32,L vs Paire,0.96,0.55,40.0,2.2,3.4%,55.2%,3.7%,40.7%,16.7%,45.0%
2017 Wimbledon R128,L vs Fognini,0.98,0.61,26.3,2.1,0.0%,44.7%,0.0%,47.6%,29.7%,38.7%
2017 Australian Open R128,L vs Stepanek,0.87,0.59,28.9,2.1,0.0%,57.8%,4.8%,61.9%,21.6%,33.3%
2016 Canada R64,L vs Muller,0.96,0.60,49.1,2.1,10.8%,56.8%,5.6%,58.3%,36.7%,14.8%
2016 Wimbledon R128,L vs Sousa,1.05,0.89,53.9,9.6,5.1%,61.6%,6.8%,58.0%,33.8%,34.3%
2016 Roland Garros R128,L vs Bautista Agut,0.80,0.51,23.7,2.2,2.6%,57.9%,2.8%,41.7%,34.3%,29.4%
2016 Sarasota CH R32,L vs Novikov,0.86,0.64,46.3,2.4,8.3%,58.3%,0.0%,60.6%,38.7%,21.4%
2016 Houston R32,L vs Lacko,0.84,0.68,45.8,2.1,3.1%,59.4%,6.5%,48.4%,38.7%,35.7%
2016 Irving CH R16,L vs Bedene,0.98,0.84,85.6,10.4,8.9%,57.1%,3.6%,65.5%,28.3%,39.5%
2016 Irving CH R32,W vs Young,1.23,1.99,42.2,2.2,0.0%,70.4%,8.3%,79.2%,37.5%,45.5%
2016 Indian Wells R128,L vs Marchenko,0.90,0.77,65.6,2.3,6.4%,61.7%,4.7%,60.5%,29.7%,37.1%
2016 Acapulco R16,L vs Thiem,0.93,0.81,73.8,4.0,0.0%,66.0%,4.9%,70.7%,32.7%,22.0%
2016 Acapulco R32,W vs Groth,1.08,1.18,75.0,2.7,-,64.6%,-,63.6%,41.8%,36.7%
2015 Ortisei CH R32,L vs Neuchrist,0.85,0.77,55.2,2.1,10.2%,63.3%,15.6%,53.3%,32.1%,43.8%
2014 Wimbledon R128,L vs Istomin,1.03,0.58,33.5,2.3,-,64.2%,-,52.6%,17.6%,29.5%
2017 (8 matches),,1.01,0.81,46.7,2.3,1.6%,60.1%,2.5%,54.8%,30.4%,38.5%
2016 (10 matches),,0.97,0.83,58.5,2.8,4.7%,61.2%,4.4%,60.3%,34.9%,32.0%
2015 (1 matches),,0.85,0.77,55.2,2.1,10.2%,63.3%,15.6%,53.3%,32.1%,43.8%
2014 (30 matches),,1.06,1.01,46.7,2.5,5.5%,62.2%,5.8%,62.6%,34.5%,37.3%
2013 (48 matches),,1.06,1.07,54.4,2.7,7.5%,64.4%,7.1%,62.7%,36.0%,37.2%
Career (137 matches),,1.04,0.99,51.3,2.6,5.9%,63.8%,5.5%,62.1%,34.7%,36.3%
