Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,14,9,5,64.3%,2,1,1,50.0%,2012,2018,R64,7,0.97,2.3%,7.0%,71.7%,61.4%,44.8%,56.7%,42.1%,60.7%,39.6%
Roland Garros,2,Clay,2,0,2,0.0%,1,1,0,100.0%,2016,2017,R128,1,0.56,0.0%,5.8%,59.6%,61.3%,38.1%,51.9%,26.8%,50.0%,0.0%
Wimbledon,2,Grass,7,5,2,71.4%,0,0,0,-,2016,2017,R32,4,0.99,2.2%,7.1%,65.8%,66.1%,44.6%,58.7%,41.0%,56.7%,35.5%
US Open,8,Hard,9,1,8,11.1%,2,1,1,50.0%,2008,2017,R128,4,0.83,2.8%,12.4%,58.4%,61.1%,40.5%,52.5%,39.4%,60.4%,39.3%
Indian Wells,5,Hard,8,3,5,37.5%,2,2,0,100.0%,2009,2017,Q2,5,0.92,2.6%,7.1%,62.9%,63.1%,34.1%,52.4%,44.1%,54.0%,46.2%
Stanford,4,Hard,8,4,4,50.0%,1,1,0,100.0%,2011,2016,R16,6,0.98,1.4%,8.9%,61.3%,65.4%,40.6%,55.8%,43.1%,52.9%,47.8%
Charleston,4,Clay,4,0,4,0.0%,2,0,2,0.0%,2010,2016,Q1,3,0.96,2.4%,11.0%,62.7%,54.6%,44.3%,50.8%,47.3%,64.7%,47.5%
Quebec City,3,Hard,8,5,3,62.5%,2,2,0,100.0%,2009,2016,SF,4,1.25,8.8%,4.8%,69.9%,69.0%,44.0%,61.4%,48.2%,42.9%,43.6%
Brisbane,3,Hard,4,1,3,25.0%,1,1,0,100.0%,2015,2018,Q2,2,0.70,2.1%,5.7%,68.6%,55.2%,31.8%,47.9%,36.3%,60.7%,40.0%
San Diego,3,Hard,3,0,3,0.0%,2,1,1,50.0%,2010,2012,Q1,2,0.78,3.4%,9.3%,63.6%,53.3%,37.2%,47.5%,41.1%,50.0%,46.2%
