Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,18,9,9,50.0%,20-22,47.6%,171-193,47.0%,1-0,100.0%,17,63.0%,36.1%,4.1%,8.2%,63.1%,64.0%,42.2%,56.0%,42.6%,49.2%,0.97
Clay,2,0,2,0.0%,0-4,0.0%,6-24,20.0%,0-0,-,2,16.7%,0.0%,2.4%,5.9%,62.4%,52.8%,28.1%,43.5%,25.0%,33.9%,0.44
Grass,6,3,3,50.0%,6-7,46.2%,59-65,47.6%,0-0,-,6,72.9%,28.6%,2.8%,7.5%,62.7%,68.1%,44.3%,59.3%,40.5%,49.3%,0.99
Grand Slams,8,3,5,37.5%,6-11,35.3%,66-88,42.9%,0-0,-,8,66.0%,31.9%,2.6%,7.3%,66.1%,63.4%,43.6%,56.7%,38.8%,47.6%,0.90
Premiers,2,1,1,50.0%,2-3,40.0%,18-26,40.9%,0-0,-,2,50.0%,31.8%,1.3%,8.6%,61.8%,62.8%,32.8%,51.3%,40.4%,46.2%,0.83
Internationals,16,8,8,50.0%,18-19,48.6%,152-168,47.5%,1-0,100.0%,15,66.3%,33.0%,4.7%,8.2%,61.4%,65.4%,42.7%,56.6%,42.4%,49.2%,0.98
Semi-finals,1,0,1,0.0%,1-2,33.3%,12-15,44.4%,0-0,-,1,64.3%,23.1%,10.5%,2.6%,71.1%,63.0%,40.9%,56.6%,38.1%,46.9%,0.88
Quarter-finals,3,1,2,33.3%,2-4,33.3%,21-34,38.2%,1-0,100.0%,3,63.2%,25.0%,6.1%,7.9%,64.6%,63.2%,37.9%,54.3%,36.6%,45.2%,0.80
vs Righties,24,11,13,45.8%,24-31,43.6%,219-263,45.4%,1-0,100.0%,23,62.8%,32.1%,3.8%,7.9%,63.3%,64.2%,41.8%,56.0%,41.4%,48.5%,0.94
vs Lefties,2,1,1,50.0%,2-2,50.0%,17-19,47.2%,0-0,-,2,88.9%,40.0%,2.3%,7.8%,58.9%,67.1%,43.4%,57.4%,37.2%,47.6%,0.87
