Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2017 Roland Garros R128,L vs Goffin,101.9,108.6,8.6,,,122,83,91.8,5.3,,,103,82
2016 US Open R64,L vs Mahut,106.2,115.8,4.6,,,125,108,93.1,4.9,,,103,79
2016 Roland Garros R64,L vs Bautista Agut,104.1,112.1,6.6,,,124,95,91.8,4.8,,,99,82
2016 Roland Garros R128,W vs Giraldo,103.1,108.1,8.5,,,122,67,90.1,5.5,,,100,80
2015 US Open R128,L vs Nishioka,104.7,113.9,6.7,,,127,89,95.2,2.9,,,104,87
2015 Roland Garros R128,L vs Nishikori,105.0,115.3,4.6,,,123,98,93.8,5.1,,,104,83
2014 US Open R64,L vs Djokovic,103.6,111.2,9.4,,,126,92,93.3,4.3,,,102,86
2014 Roland Garros R128,L vs Thiem,100.3,104.0,12.8,,,123,75,92.0,7.2,,,101,81
2013 US Open R128,L vs Haas,102.8,,,,,126,,,,,,,82
2013 Roland Garros R128,L vs Nieminen,106.1,,,,,125,,,,,,,85
2013 Australian Open R128,L vs Djokovic,108.7,,,,,124,,,,,,,88
2012 US Open R64,L vs Raonic,107.4,,,,,128,,,,,,,67
2012 US Open R128,W vs Andreev,104.9,,,,,127,,,,,,,84
2012 Wimbledon R128,L vs Simon,106.9,,,,,124,,,,,,,63
2012 Roland Garros R32,L vs Granollers,98.7,,,,,123,,,,,,,77
2012 Roland Garros R64,W vs Isner,103.5,,,,,125,,,,,,,78
2012 Roland Garros R128,W vs Phau,103.0,,,,,127,,,,,,,71
Career (17 matches),,104.0,110.8,7.8,,,128,67,93.0,4.7,,,104,63
