Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2016 Quimper CH QF,W vs Sijsling,3.7,4.1,3.4,55.8%,61.1%,30.0%,33.3%,49.2%,3.1%,8.0,12.7,2.0,3.3
2016 Montpellier F,L vs Gasquet,5.3,5.8,4.9,42.1%,44.4%,38.5%,52.0%,49.7%,5.5%,0.5,0.4,-0.5,-0.4
2015 Mouilleron CH R16,W vs Hemery,3.4,3.6,3.2,59.7%,65.2%,42.9%,55.6%,50.3%,5.4%,5.5,7.5,0.0,0.0
2015 Metz R32,L vs Klizan,3.0,3.3,2.7,48.7%,46.3%,50.0%,66.7%,59.8%,18.8%,8.5,7.3,-0.5,-0.8
2015 Kitzbuhel F,L vs Kohlschreiber,3.6,3.4,3.7,48.8%,47.5%,27.3%,50.0%,47.7%,9.8%,14.0,16.1,-4.5,-5.0
2015 Roland Garros R128,L vs Nishikori,3.8,3.7,4.0,44.1%,38.2%,35.0%,38.5%,39.4%,8.4%,8.5,8.2,-12.0,-7.9
2015 Rotterdam R32,L vs Dimitrov,3.3,3.6,2.9,45.5%,61.8%,45.0%,40.0%,49.6%,6.0%,9.0,7.9,8.0,7.4
2014 Madrid R32,L vs Cilic,3.4,3.1,3.7,44.6%,61.3%,41.7%,71.4%,43.6%,8.5%,2.0,2.8,1.0,1.1
2013 Australian Open R128,L vs Djokovic,3.5,3.7,3.2,41.6%,45.5%,42.1%,30.0%,48.3%,10.1%,5.0,5.0,3.0,3.1
2009 Hamburg F,L vs Davydenko,4.9,4.7,5.1,52.7%,28.6%,26.1%,53.8%,45.9%,5.6%,3.0,3.0,-2.0,-1.7
2006 Roland Garros R64,L vs Nadal,6.1,5.6,6.7,53.4%,49.4%,38.2%,42.9%,62.3%,4.7%,16.0,3.4,-0.5,-0.2
2005 Canada SF,L vs Nadal,4.8,4.3,5.2,53.4%,43.5%,31.3%,33.3%,67.0%,7.5%,-2.0,-1.1,-8.5,-9.9
2002 Davis Cup World Group F RR,L vs Youzhny,4.4,4.6,4.1,55.3%,55.1%,46.4%,41.2%,38.4%,3.6%,9.0,5.6,3.5,1.3
2002 Davis Cup World Group F RR,L vs Safin,3.5,4.2,2.7,47.0%,41.9%,61.1%,44.4%,50.3%,8.6%,7.0,4.7,8.0,5.8
Career (14 matches),,4.1,4.2,4.0,49.2%,49.1%,39.7%,44.4%,51.3%,6.9%,6.7,4.8,-0.2,-0.2
