Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,31,8,23,25.8%,22-45,32.8%,279-356,43.9%,6-3,66.7%,29,59.6%,30.4%,2.8%,7.6%,57.3%,62.0%,40.6%,52.8%,42.2%,47.4%,0.90
Clay,47,21,26,44.7%,50-57,46.7%,475-496,48.9%,4-4,50.0%,47,56.5%,41.7%,2.1%,7.2%,60.5%,60.3%,43.9%,53.8%,46.6%,50.2%,1.01
Grass,6,0,6,0.0%,0-12,0.0%,39-75,34.2%,0-2,0.0%,6,53.3%,16.3%,5.8%,9.0%,61.6%,64.3%,33.8%,52.6%,33.6%,42.8%,0.71
Grand Slams,16,2,14,12.5%,4-26,13.3%,108-180,37.5%,3-4,42.9%,15,55.6%,21.8%,3.6%,7.4%,58.0%,61.8%,36.7%,51.3%,38.1%,44.8%,0.78
Premiers,7,0,7,0.0%,1-13,7.1%,49-86,36.3%,1-1,50.0%,7,50.0%,24.5%,1.9%,6.6%,60.1%,59.6%,33.7%,49.3%,40.1%,44.5%,0.79
Internationals,52,25,27,48.1%,59-61,49.2%,554-553,50.0%,6-4,60.0%,52,59.9%,41.4%,2.5%,7.6%,59.7%,61.7%,44.6%,54.8%,46.1%,50.4%,1.02
Finals,1,1,0,100.0%,2-0,100.0%,13-10,56.5%,1-0,100.0%,1,54.5%,54.5%,1.3%,2.7%,58.7%,59.1%,54.8%,57.3%,49.4%,53.3%,1.16
Semi-finals,4,1,3,25.0%,2-7,22.2%,39-49,44.3%,0-1,0.0%,4,60.5%,29.5%,2.1%,4.3%,66.1%,58.9%,43.2%,53.6%,41.5%,47.3%,0.89
Quarter-finals,6,4,2,66.7%,9-5,64.3%,77-59,56.6%,0-1,0.0%,6,66.2%,47.8%,3.3%,6.5%,58.3%,61.7%,49.7%,56.7%,49.2%,53.0%,1.14
vs Righties,78,25,53,32.1%,63-109,36.6%,722-870,45.4%,8-9,47.1%,76,55.6%,36.6%,2.4%,7.6%,59.5%,60.3%,41.4%,52.7%,44.1%,48.3%,0.93
vs Lefties,4,2,2,50.0%,5-5,50.0%,46-46,50.0%,1-0,100.0%,4,66.7%,32.6%,5.9%,7.2%,58.6%,68.0%,44.4%,58.2%,43.7%,50.7%,1.05
vs Top 10,6,0,6,0.0%,1-12,7.7%,49-76,39.2%,0-2,0.0%,6,52.9%,28.3%,2.6%,8.9%,60.6%,61.6%,32.5%,50.1%,41.1%,45.4%,0.82
