Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-08-26),1162,10,,,,,,,,,,,,
2023,251,300,115,1656,107,1623,90,1626,178,1430,,,,
2022,81,744,73,1751,81,1688,58,1709,122,1490,,,,
2021,82,871,115,1667,120,1618,94,1634,148,1464,,,,
2020,252,249,,,,,,,,,340,226,,
2019,255,233,195,1541,168,1537,173,1505,180,1412,296,249,,
2018,217,269,179,1544,161,1540,156,1502,166,1433,119,606,,
2017,167,350,151,1562,147,1533,130,1529,129,1488,94,750,,
2016,122,492,85,1719,98,1644,69,1668,108,1542,143,481,,
2015,143,398,127,1625,139,1553,118,1570,155,1437,122,554,,
2014,128,438,163,1573,170,1518,133,1559,157,1435,116,652,,
2013,118,548,179,1563,177,1511,152,1531,173,1423,119,630,,
2012,200,301,,,,,,,,,322,171,,
2011,516,63,,,,,,,,,270,254,,
2010,271,191,,,,,,,,,339,171,,
2009,637,37,,,,,,,,,,,,
