Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-07-03),821,29,,,,,,,,,1243,13,,
2022,639,47,,,,,,,,,,,,
2021,305,221,,,,,,,,,,,,
2020,444,98,,,,,,,,,469,142,,
2019,437,94,216,1490,214,1440,206,1435,,,359,192,,
2018,226,258,,,,,,,,,290,235,,
2017,190,299,211,1414,218,1355,186,1376,188,1345,159,468,,
2016,188,292,,,,,,,,,198,337,,
2015,331,121,,,,,,,,,306,182,,
2014,290,140,,,,,,,,,1151,7,,
2013,820,21,,,,,,,,,705,45,,
2012,454,74,,,,,,,,,846,25,,
2011,602,44,,,,,,,,,552,74,,
2010,868,15,,,,,,,,,483,84,,
2009,1025,6,,,,,,,,,,,,
