Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2022 Wimbledon R64,L vs Badosa,11% (1/9),100% (1/1),1/4,63% (5/8),20% (1/5),0/1,0/0,1/1,0/0,0/0
2022 Wimbledon R128,W vs Paquet,56% (5/9),80% (4/5),0/1,33% (3/9),67% (2/3),4/4,2/2,0/0,1/1,0/0
2022 Roland Garros R128,L vs Putintseva,25% (2/8),50% (1/2),1/4,63% (5/8),0% (0/5),1/1,0/0,0/1,0/0,0/1
2022 Bogota R16,W vs Lamens,55% (6/11),100% (6/6),2/4,45% (5/11),0% (0/5),4/6,2/2,0/1,1/1,0/0
2021 Gdynia R32,W vs Di Sarra,71% (10/14),100% (10/10),6/9,71% (10/14),0% (0/10),2/9,1/2,1/2,1/1,1/1
2021 Roland Garros R128,L vs Sharma,10% (1/10),100% (1/1),1/2,30% (3/10),0% (0/3),0/0,0/0,0/1,0/0,0/1
2021 W100 Bonita Springs FL SF,W vs Fetecau,78% (7/9),100% (7/7),2/3,63% (5/8),40% (2/5),3/6,1/1,0/0,0/0,0/0
2021 Bogota R32,L vs Rus,56% (9/16),100% (9/9),6/8,75% (12/16),17% (2/12),3/9,1/2,1/3,0/0,0/1
2021 Guadalajara R32,L vs Bouzkova,46% (6/13),83% (5/6),3/5,54% (7/13),14% (1/7),1/4,0/0,1/2,0/0,0/1
2020 Roland Garros R32,L vs Kenin,71% (5/7),20% (1/5),0/6,86% (6/7),0% (0/6),0/1,0/0,0/0,0/0,0/0
2020 Roland Garros R128,W vs Vekic,67% (6/9),83% (5/6),1/3,40% (4/10),25% (1/4),3/5,2/3,0/0,1/2,0/0
2019 Jurmala QF,L vs Sevastova,47% (7/15),71% (5/7),1/3,45% (5/11),20% (1/5),1/3,1/1,1/1,0/0,1/1
2019 Bucharest R32,L vs Fourlis,35% (6/17),83% (5/6),2/4,64% (9/14),44% (4/9),1/3,1/1,0/0,0/0,0/0
2019 W60 Versmold QF,L vs Niemeier,33% (3/9),67% (2/3),1/4,63% (5/8),0% (0/5),0/2,0/0,0/1,0/0,0/0
2019 W60 Versmold R16,W vs Kostova,77% (10/13),70% (7/10),2/2,43% (6/14),33% (2/6),2/5,0/2,0/1,0/0,0/0
2019 Rabat R32,L vs Hercog,55% (6/11),83% (5/6),2/5,64% (7/11),14% (1/7),1/5,0/1,1/1,0/0,0/0
2019 Istanbul R32,L vs Cirstea,60% (6/10),50% (3/6),1/5,70% (7/10),0% (0/7),3/3,1/1,0/2,0/0,0/1
2019 Bogota R32,L vs Errani,69% (9/13),89% (8/9),6/10,86% (12/14),8% (1/12),2/7,0/0,0/1,0/0,0/1
2019 W25 Canberra QF,L vs Myers,43% (6/14),50% (3/6),0/5,38% (5/13),0% (0/5),2/3,1/1,2/2,0/0,1/1
2019 W25 Canberra R16,W vs Koelzer,67% (6/9),67% (4/6),1/1,11% (1/9),0% (0/1),2/3,1/1,0/0,0/0,0/0
2022 (4 matches),,37.8%,85.7%,30.8%,50.0%,16.7%,75.0%,100.0%,33.3%,100.0%,0.0%
2021 (5 matches),,53.2%,97.0%,66.7%,60.7%,13.5%,32.1%,60.0%,37.5%,100.0%,25.0%
2020 (2 matches),,68.8%,54.5%,11.1%,58.8%,10.0%,50.0%,66.7%,-,50.0%,-
2019 (15 matches),,54.4%,73.9%,39.4%,58.4%,12.8%,46.6%,53.8%,37.5%,100.0%,50.0%
2018 (6 matches),,52.1%,78.9%,41.4%,50.0%,13.5%,60.0%,75.0%,66.7%,100.0%,83.3%
Career (170 matches),,63.2%,84.8%,49.9%,55.9%,20.2%,57.4%,62.5%,49.3%,63.3%,47.6%
