Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,Ekaterine Gorgodze [GEO],7,1,87.5%,1,1,0,100.0%,2015,2025,3,1.04,0.4%,2.2%,75.6%,56.4%,48.5%,54.4%,47.6%,62.9%,48.5%
7,Katarina Zavatska [UKR],3,4,42.9%,1,0,1,0.0%,2017,2024,2,1.20,0.0%,5.1%,70.6%,59.4%,40.0%,53.7%,55.6%,43.8%,51.9%
7,Lina Gjorcheska [MKD],5,2,71.4%,1,1,0,100.0%,2014,2023,0,,,,,,,,,,
7,Tereza Mrdeza [CRO],3,4,42.9%,1,0,1,0.0%,2016,2020,2,1.22,0.0%,1.3%,75.8%,56.6%,52.8%,55.7%,54.1%,40.0%,56.5%
6,Patricia Maria Tig [ROU],1,5,16.7%,2,1,1,50.0%,2012,2024,1,0.63,0.0%,5.8%,76.9%,52.5%,33.3%,48.1%,32.7%,50.0%,0.0%
5,Aliona Bolsova [ESP],3,2,60.0%,0,0,0,-,2015,2025,1,1.09,0.0%,1.1%,79.8%,49.3%,63.2%,52.1%,52.2%,46.2%,64.3%
5,Maja Chwalinska [POL],4,1,80.0%,0,0,0,-,2016,2023,0,,,,,,,,,,
5,Alexandra Cadantu Ignatik [ROU],4,1,80.0%,0,0,0,-,2015,2023,3,1.25,0.0%,5.9%,75.0%,58.8%,42.4%,54.7%,56.7%,58.1%,56.4%
5,Viktoriya Tomova [BUL],3,2,60.0%,0,0,0,-,2017,2022,2,0.85,0.0%,8.7%,74.0%,44.7%,39.4%,43.3%,48.2%,50.0%,47.4%
4,Xiaodi You [CHN],2,2,50.0%,0,0,0,-,2021,2024,3,1.06,0.0%,6.3%,68.9%,62.7%,40.6%,55.9%,46.7%,52.0%,44.8%
4,Chloe Paquet [FRA],3,1,75.0%,0,0,0,-,2021,2024,2,0.86,0.0%,2.2%,62.0%,61.4%,40.0%,53.3%,40.4%,45.5%,28.6%
4,Tena Lukas [CRO],2,2,50.0%,0,0,0,-,2019,2023,1,1.71,0.0%,6.6%,73.8%,66.7%,37.5%,59.0%,70.3%,60.0%,75.0%
4,Cristina Bucsa [ESP],2,2,50.0%,0,0,0,-,2016,2021,1,0.83,1.0%,1.9%,67.0%,53.6%,32.4%,46.6%,44.4%,60.9%,40.0%
4,Magdalena Frech [POL],3,1,75.0%,1,1,0,100.0%,2017,2021,2,1.02,0.0%,4.5%,63.5%,55.6%,47.4%,52.6%,48.6%,54.5%,50.0%
4,Isabella Shinikova [BUL],1,3,25.0%,3,1,2,33.3%,2015,2020,1,1.14,1.6%,3.1%,59.4%,68.4%,46.2%,59.4%,46.3%,40.0%,31.3%
