Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,11,4,7,36.4%,3,0,3,0.0%,2018,2024,R128,11,0.94,0.7%,5.8%,72.9%,53.2%,38.4%,49.2%,47.9%,45.2%,46.3%
Roland Garros,6,Clay,19,13,6,68.4%,5,2,3,40.0%,2018,2024,R32,16,1.11,0.2%,3.0%,75.2%,56.5%,48.1%,54.4%,50.8%,42.5%,49.2%
Wimbledon,7,Grass,10,3,7,30.0%,2,0,2,0.0%,2017,2024,R64,7,0.89,0.6%,2.6%,70.5%,54.8%,40.6%,50.6%,43.9%,53.1%,53.6%
US Open,7,Hard,10,3,7,30.0%,0,0,0,-,2017,2024,Q2,8,0.85,0.2%,4.6%,71.6%,56.4%,38.5%,51.3%,41.5%,53.2%,39.3%
Hamburg,3,Clay,3,0,3,0.0%,2,0,2,0.0%,2021,2025,R32,3,0.78,0.9%,2.7%,68.0%,53.6%,46.5%,51.4%,37.8%,41.4%,58.8%
Bogota,6,Clay,14,8,6,57.1%,1,1,0,100.0%,2019,2025,QF,14,1.03,0.2%,7.9%,65.8%,55.7%,39.2%,50.1%,51.2%,53.0%,52.6%
Bucharest 125,3,Clay,5,2,3,40.0%,1,0,1,0.0%,2022,2024,R16,5,0.97,0.3%,4.3%,77.3%,54.9%,43.5%,52.3%,46.3%,50.0%,46.7%
Gaiba 125,2,Grass,3,1,2,33.3%,0,0,0,-,2023,2024,R16,3,0.80,0.0%,4.1%,70.9%,59.6%,35.9%,52.7%,37.9%,54.8%,40.0%
Iasi 125,2,Clay,2,0,2,0.0%,1,0,1,0.0%,2022,2023,R32,2,0.90,0.6%,5.6%,64.4%,47.6%,52.6%,49.4%,45.4%,50.0%,58.8%
Lyon,3,Hard,6,3,3,50.0%,4,2,2,50.0%,2020,2022,R16,6,0.97,0.2%,4.0%,66.5%,60.7%,47.3%,56.2%,42.5%,53.1%,42.2%
