Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 Roland Garros R128,L vs Putintseva,14.9%,14.9%,38.5%,8.6%,8.6%,43.8%,16.7%,41.2%,33.3%,36.4%,36.4%,14.3%,75.0%,14.3%,0.0%,-3
2022 Bogota R16,W vs Lamens,13.4%,13.4%,50.0%,15.2%,15.2%,46.2%,27.8%,7.1%,0.0%,13.3%,13.3%,61.5%,11.1%,50.0%,100.0%,-9
2021 Gdynia R32,W vs Di Sarra,8.6%,8.6%,41.0%,9.0%,9.0%,42.6%,13.3%,37.8%,50.0%,10.5%,10.5%,35.3%,9.1%,12.5%,50.0%,-30
2021 Bol SF,L vs Rus,9.5%,14.3%,35.3%,3.8%,11.5%,36.0%,53.8%,15.4%,33.3%,25.0%,25.0%,33.3%,16.7%,0.0%,0.0%,97
2021 ITF Bonita Springs SF,W vs Fetecau,6.8%,11.9%,51.9%,6.1%,12.2%,52.2%,29.6%,50.0%,66.7%,11.1%,11.1%,50.0%,0.0%,37.5%,50.0%,-4
2021 Bogota R32,L vs Rus,7.6%,10.5%,46.5%,9.2%,13.8%,44.1%,30.0%,22.9%,25.0%,6.9%,6.9%,51.9%,6.3%,7.7%,0.0%,-61
2021 Guadalajara R32,L vs Bouzkova,13.5%,14.9%,42.4%,16.7%,16.7%,37.5%,10.7%,10.0%,0.0%,9.5%,14.3%,52.6%,0.0%,6.7%,0.0%,-30
2020 Roland Garros R32,L vs Kenin,10.0%,14.0%,30.2%,10.8%,16.2%,36.4%,33.3%,21.1%,40.0%,9.1%,9.1%,10.0%,28.6%,25.0%,0.0%,-30
2020 Roland Garros R128,W vs Vekic,17.5%,20.6%,52.0%,19.6%,23.9%,43.2%,21.1%,22.2%,50.0%,13.3%,13.3%,76.9%,16.7%,22.2%,0.0%,17
2019 Jurmala QF,L vs Sevastova,8.6%,10.0%,41.7%,12.0%,14.0%,40.9%,34.8%,44.4%,50.0%,0.0%,0.0%,43.8%,33.3%,40.0%,0.0%,-119
2016 ITF Hodmezovasarhely SF,W vs Mrdeza,5.3%,7.0%,52.8%,5.7%,7.5%,54.0%,4.2%,58.6%,80.0%,0.0%,0.0%,33.3%,0.0%,-,-,-119
Career (11 matches),,10.3%,12.4%,44.4%,10.7%,13.4%,44.0%,23.4%,31.0%,41.7%,11.8%,12.4%,45.8%,16.0%,19.8%,16.7%,-12
