Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,3,1,2,33.3%,2-4,33.3%,20-30,40.0%,0-0,-,3,52.0%,28.0%,0.6%,4.4%,73.4%,56.9%,38.1%,51.9%,42.1%,46.9%,0.87,R16 (W35 San Gregorio)
2025,36,18,18,50.0%,43-42,50.6%,396-390,50.4%,3-4,42.9%,36,58.3%,43.3%,0.6%,4.4%,72.7%,56.2%,44.0%,52.9%,46.8%,50.0%,0.99,SF (W50 Troisdorf)
2024,37,23,14,62.2%,48-33,59.3%,403-342,54.1%,5-4,55.6%,0,,,,,,,,,,,,W (W15 Bucharest)
2023,20,11,9,55.0%,25-20,55.6%,202-189,51.7%,3-1,75.0%,0,,,,,,,,,,,,SF (W15 Melilla)
2022,36,16,20,44.4%,34-47,42.0%,339-388,46.6%,2-3,40.0%,1,28.6%,0.0%,0.0%,6.5%,67.4%,45.2%,33.3%,41.3%,23.1%,32.9%,0.39,F (W25 Trieste)
2021,23,11,12,47.8%,25-28,47.2%,246-241,50.5%,0-3,0.0%,0,,,,,,,,,,,,SF (W25 Tarvisio)
2020,12,7,5,58.3%,16-12,57.1%,133-120,52.6%,2-2,50.0%,0,,,,,,,,,,,,SF (2x)
2019,66,48,18,72.7%,101-50,66.9%,770-599,56.2%,7-4,63.6%,0,,,,,,,,,,,,W (4x)
2018,47,29,18,61.7%,66-43,60.6%,545-474,53.5%,7-3,70.0%,0,,,,,,,,,,,,W (Antalya $15K)
2017,56,36,20,64.3%,78-45,63.4%,615-500,55.2%,9-4,69.2%,0,,,,,,,,,,,,W (2x)
2016,54,36,18,66.7%,76-42,64.4%,585-442,57.0%,7-2,77.8%,0,,,,,,,,,,,,W (Casablanca $10K)
2015,32,15,17,46.9%,37-38,49.3%,344-330,51.0%,2-4,33.3%,0,,,,,,,,,,,,SF (3x)
2014,39,25,14,64.1%,53-30,63.9%,417-330,55.8%,6-4,60.0%,0,,,,,,,,,,,,W (Iasi 10K)
2013,12,6,6,50.0%,13-12,52.0%,106-106,50.0%,1-0,100.0%,0,,,,,,,,,,,,SF (Timisoara 10K)
2012,1,0,1,0.0%,0-2,0.0%,0-12,0.0%,0-0,-,0,,,,,,,,,,,,R32 (Timisoara 10K)
Career,474,282,192,59.5%,617-448,57.9%,5121-4493,53.3%,54-38,58.7%,40,57.4%,41.6%,0.6%,4.4%,72.6%,56.1%,43.5%,52.6%,46.2%,49.5%,0.97,
