Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),169,355,204,1570,190,1538,195,1515,145,1519,,,,
2025,173,337,226,1536,203,1507,205,1498,151,1502,,,,
2024,327,153,232,1517,253,1458,191,1513,159,1500,1365,16,,
2023,155,407,172,1584,166,1530,138,1576,165,1479,,,,
2022,127,444,172,1596,161,1551,143,1577,154,1484,,,,
2021,170,401,157,1602,147,1557,131,1584,189,1453,,,,
2020,205,309,187,1530,180,1483,154,1516,,,388,118,,
2019,176,290,180,1572,168,1539,144,1552,178,1453,368,118,,
2018,115,511,120,1657,108,1628,109,1607,138,1506,385,74,,
2017,142,392,132,1633,142,1573,118,1595,113,1545,448,123,,
2016,160,372,199,1538,221,1452,176,1510,,,252,283,,
2015,136,431,173,1572,194,1494,119,1589,133,1532,663,77,,
2014,228,210,320,1365,312,1316,281,1369,,,705,60,,
2013,769,24,,,,,,,,,,,,
