Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2020,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-1,0.0%,1,60.0%,20.0%,0.0%,2.9%,68.1%,48.9%,50.0%,49.3%,40.3%,44.7%,0.79,
2019,2,2,0,100.0%,4-0,100.0%,24-8,75.0%,0-0,-,2,94.1%,53.3%,4.0%,2.0%,62.4%,69.8%,73.7%,71.3%,52.3%,62.4%,1.82,
2018,2,1,1,50.0%,3-2,60.0%,21-21,50.0%,0-0,-,2,57.1%,47.6%,0.8%,3.1%,74.0%,54.3%,45.5%,52.0%,48.0%,49.8%,1.00,
2013,2,1,1,50.0%,2-2,50.0%,20-16,55.6%,0-1,0.0%,1,-,-,2.8%,4.2%,61.1%,59.1%,46.4%,54.2%,34.3%,44.6%,0.75,
2011,2,0,2,0.0%,0-4,0.0%,5-24,17.2%,0-0,-,1,-,-,0.0%,14.6%,51.2%,38.1%,20.0%,29.3%,35.7%,32.5%,0.50,
2010,1,0,1,0.0%,1-2,33.3%,11-12,47.8%,0-0,-,1,-,-,0.0%,3.8%,67.1%,52.8%,42.3%,49.4%,46.2%,47.8%,0.91,R32 (Bad Gastein)
2009,4,0,4,0.0%,2-8,20.0%,26-55,32.1%,0-0,-,1,-,-,1.1%,0.0%,77.3%,50.0%,50.0%,50.0%,50.0%,50.0%,1.00,
2008,5,2,3,40.0%,5-7,41.7%,57-62,47.9%,0-2,0.0%,3,-,-,4.5%,5.3%,51.0%,66.9%,43.7%,55.6%,43.8%,49.5%,0.99,R16 (Bad Gastein)
2007,3,1,2,33.3%,3-4,42.9%,33-37,47.1%,1-0,100.0%,1,-,-,2.2%,4.4%,60.0%,57.4%,25.0%,44.4%,45.2%,44.8%,0.81,
2006,1,0,1,0.0%,0-2,0.0%,6-13,31.6%,0-0,-,0,,,,,,,,,,,,
Career,23,7,16,30.4%,20-33,37.7%,211-261,44.7%,1-4,20.0%,13,70.8%,43.5%,2.3%,4.1%,62.4%,57.7%,44.7%,52.9%,44.8%,48.8%,0.95,
