Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 W25 Baja R32,L vs Ene,0.73,0.77,51.5,2.3,-,56.4%,-,56.3%,41.0%,53.1%
2019 W25 Ystad R32,L vs Lemoine,0.76,0.50,35.3,2.1,-,44.4%,-,60.9%,37.0%,23.8%
2019 W15 Cairo SF,L vs Sherif,0.78,0.32,27.8,2.0,0.0%,66.7%,0.0%,34.6%,13.6%,27.8%
2019 W15 Cairo QF,W vs Alhussein Abdel Aziz,1.22,1.43,41.6,3.7,5.1%,61.5%,0.0%,54.1%,51.4%,46.9%
2019 W15 Cairo R16,W vs Chilakalapudi,1.06,1.86,41.8,2.0,0.0%,75.0%,0.0%,65.0%,53.6%,50.0%
2019 W15 Cairo R32,W vs Dourado,1.24,3.01,26.2,2.1,21.1%,63.2%,11.1%,77.8%,84.2%,58.8%
2019 W15 Cairo QF,W vs Alhussein Abdel Aziz,1.19,1.37,45.3,4.6,2.8%,52.8%,0.0%,58.1%,55.3%,46.9%
2019 W15 Cairo R16,W vs Vasic,1.17,1.45,46.1,3.3,0.0%,56.8%,0.0%,62.9%,50.0%,50.0%
2019 W15 Cairo QF,W vs Matusova,1.08,1.32,49.0,4.0,0.0%,62.5%,0.0%,58.3%,52.3%,44.2%
2019 W15 Cairo R16,W vs Koller,0.97,2.20,35.5,2.0,0.0%,68.2%,0.0%,76.2%,59.1%,68.4%
2019 W15 Cairo R32,W vs Novac,1.00,1.84,42.2,2.3,3.4%,65.5%,0.0%,64.3%,57.9%,72.2%
2019 W15 Sharm El Sheikh R32,L vs Kajuru,0.82,0.72,49.5,2.1,0.0%,62.1%,4.0%,48.0%,39.5%,38.9%
2019 W15 Sharm El Sheikh SF,L vs Orpana,0.99,0.38,33.7,2.0,4.5%,31.8%,0.0%,45.5%,25.0%,22.2%
2019 W15 Sharm El Sheikh QF,W vs Samir,1.03,1.09,78.3,23.8,-,59.1%,-,51.3%,44.1%,50.0%
2019 W15 Sharm El Sheikh R16,W vs Szymczuch,1.09,1.43,51.2,2.1,0.0%,61.3%,0.0%,58.6%,45.2%,60.0%
2019 W15 Sharm El Sheikh R16,L vs Arshinkova,0.97,0.81,60.4,2.2,0.0%,31.3%,0.0%,50.0%,51.6%,48.4%
2019 W15 Sharm El Sheikh R32,W vs Vanhoutte,1.02,1.23,59.8,2.8,0.0%,57.9%,2.9%,57.1%,57.5%,44.7%
2019 Fed Cup RR,W vs Glushko,1.05,1.89,43.2,2.7,-,61.5%,-,70.8%,52.6%,70.6%
2019 Fed Cup RR,W vs Simic,1.10,2.16,34.7,2.1,11.1%,74.1%,0.0%,79.2%,40.7%,52.0%
2019 W15 Sharm El Sheikh R16,L vs Orpana,1.03,0.55,45.3,2.5,0.0%,35.0%,5.9%,41.2%,45.8%,20.8%
2019 (23 matches),,1.02,1.19,48.3,2.5,2.8%,58.0%,1.2%,59.0%,47.8%,48.6%
2018 (1 matches),,0.95,0.73,53.7,2.2,3.1%,40.6%,0.0%,46.4%,41.2%,45.5%
2017 (35 matches),,1.05,1.10,52.6,2.6,2.1%,55.8%,1.3%,52.6%,48.4%,47.1%
2016 (12 matches),,1.03,0.97,48.8,2.7,1.9%,56.3%,1.2%,48.5%,40.4%,48.9%
2015 (16 matches),,1.01,1.12,54.0,2.9,2.1%,55.0%,1.2%,54.8%,50.8%,48.8%
Career (121 matches),,1.04,1.11,52.7,2.7,2.2%,56.6%,1.4%,54.0%,47.7%,47.8%
