Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-07-01),1296,5,,,,,,,,,389,205,,
2023,1272,6,,,,,,,,,,,,
2022,822,25,,,,,,,,,,,,
2021,585,73,,,,,,,,,,,,
2020,524,75,,,,,,,,,520,114,,
2019,521,69,,,,,,,,,468,123,,
2018,600,25,,,,,,,,,495,80,,
2017,624,38,,,,,,,,,625,57,,
2016,630,35,,,,,,,,,545,72,,
2015,298,141,,,,,,,,,440,100,,
2014,396,80,,,,,,,,,393,109,,
2013,181,348,,,,,,,,,429,120,,
2012,387,98,,,,,,,,,416,111,,
2011,367,119,,,,,,,,,188,376,,
2010,232,250,,,,,,,,,175,420,,
2009,244,211,286,1213,286,1152,265,1235,,,,,,
2008,276,94,286,1352,292,1283,255,1356,,,,,,
2007,352,62,,,,,,,,,,,,
2006,836,10,,,,,,,,,,,,
2005,1108,4,,,,,,,,,,,,
