Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,7,4,3,57.1%,2,0,2,0.0%,1993,2000,R16,0,,,,,,,,,,
Roland Garros,18,Clay,48,30,18,62.5%,6,1,5,16.7%,1984,2001,QF,0,,,,,,,,,,
Wimbledon,17,Grass,58,41,17,70.7%,9,5,4,55.6%,1985,2001,F,0,,,,,,,,,,
US Open,17,Hard,46,29,17,63.0%,6,3,3,50.0%,1985,2001,QF,0,,,,,,,,,,
Olympics,2,,4,2,2,50.0%,1,1,0,100.0%,1988,1992,R32,0,,,,,,,,,,
Fed Cup,12,,25,13,12,52.0%,6,2,4,33.3%,1985,2000,,0,,,,,,,,,,
Zurich,16,Hard,46,30,16,65.2%,16,10,6,62.5%,1985,2001,F,0,,,,,,,,,,
Eastbourne,16,Grass,46,31,15,67.4%,12,8,4,66.7%,1986,2001,W,0,,,,,,,,,,
Birmingham,15,Grass,52,40,12,76.9%,9,5,4,55.6%,1986,2001,W,0,,,,,,,,,,
Rome,15,Clay,35,20,15,57.1%,7,3,4,42.9%,1987,2001,SF,0,,,,,,,,,,
Filderstadt,15,Hard,33,18,15,54.5%,6,1,5,16.7%,1986,2001,SF,0,,,,,,,,,,
Key Biscayne,14,Hard,44,30,14,68.2%,7,6,1,85.7%,1986,1999,SF,0,,,,,,,,,,
San Diego,14,Hard,36,22,14,61.1%,5,4,1,80.0%,1987,2001,SF,0,,,,,,,,,,
Berlin,14,Clay,31,17,14,54.8%,7,3,4,42.9%,1986,2001,QF,0,,,,,,,,,,
Paris,11,Carpet,25,15,10,60.0%,8,5,3,62.5%,1987,2001,W,0,,,,,,,,,,
Brighton,10,Carpet,24,14,10,58.3%,6,4,2,66.7%,1991,1995,QF,0,,,,,,,,,,
