Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2001,13,1754,13,2016,12,1932,21,1854,8,1926,,,,
2000,10,1918,15,2021,17,1922,19,1879,6,1912,,,,
1999,7,2213,8,2086,13,1970,22,1908,6,1971,,,,
1998,10,2259,9,2112,10,2013,19,1922,6,1989,,,,
1997,11,1998,13,2079,14,1974,17,1946,6,1963,,,,
1996,22,1001,31,1935,25,1865,28,1871,13,1868,,,,
1995,27,53,22,1970,24,1876,21,1899,8,1886,,,,
1994,35,46,24,1975,22,1901,21,1895,11,1865,,,,
1993,18,79,13,2074,13,1990,16,1963,9,1922,,,,
1992,14,59,14,2055,12,1960,15,1947,11,1906,,,,
1991,13,64,13,2062,13,1967,11,1961,10,1868,,,,
1990,18,60,14,2036,13,1943,15,1915,14,1856,,,,
1989,25,38,19,1948,17,1865,22,1847,26,1737,,,,
1988,26,31,22,1924,18,1859,27,1798,34,1701,,,,
1987,25,29,21,1929,19,1830,21,1830,25,1760,,,,
1986,66,11,43,1827,44,1710,91,1623,42,1696,,,,
1985,112,,132,1615,97,1592,179,1443,130,1488,,,,
1984,296,,,,,,,,,,,,,
