Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,358,218,140,60.9%,444-338,56.8%,3729-3329,52.8%,49-31,61.3%,0,,,,,,,,,,,
Clay,191,111,80,58.1%,240-188,56.1%,2000-1837,52.1%,15-19,44.1%,0,,,,,,,,,,,
Grass,152,109,43,71.7%,223-115,66.0%,1752-1317,57.1%,17-12,58.6%,0,,,,,,,,,,,
Carpet,200,119,81,59.5%,232-168,58.0%,1900-1725,52.4%,32-24,57.1%,0,,,,,,,,,,,
Grand Slams,154,101,53,65.6%,210-141,59.8%,1712-1422,54.6%,9-14,39.1%,0,,,,,,,,,,,
Premiers,77,44,33,57.1%,101-85,54.3%,906-885,50.6%,17-5,77.3%,0,,,,,,,,,,,
Internationals,15,11,4,73.3%,24-11,68.6%,189-147,56.3%,4-0,100.0%,0,,,,,,,,,,,
Finals,22,8,14,36.4%,19-29,39.6%,208-227,47.8%,2-2,50.0%,0,,,,,,,,,,,
Semi-finals,61,22,39,36.1%,54-80,40.3%,524-657,44.4%,8-5,61.5%,0,,,,,,,,,,,
Quarter-finals,137,62,75,45.3%,125-158,44.2%,1223-1337,47.8%,21-10,67.7%,0,,,,,,,,,,,
vs Righties,632,366,266,57.9%,757-609,55.4%,6424-5920,52.0%,86-66,56.6%,0,,,,,,,,,,,
vs Lefties,49,21,28,42.9%,40-58,40.8%,392-461,46.0%,5-4,55.6%,0,,,,,,,,,,,
vs Top 10,156,31,125,19.9%,70-245,22.2%,1005-1704,37.1%,13-16,44.8%,0,,,,,,,,,,,
