Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2007,739,13,,,,,,,,,,,,
2006,501,30,,,,,,,,,,,,
2005,170,212,183,1515,182,1459,181,1448,,,,,,
2004,145,236,185,1518,183,1455,180,1459,187,1365,,,,
2003,87,427,107,1680,119,1570,95,1608,166,1416,,,,
2002,137,242,137,1605,126,1553,129,1551,177,1383,,,,
2001,121,299,114,1654,115,1588,130,1540,165,1416,,,,
2000,127,247,102,1671,112,1593,102,1609,143,1442,,,,
1999,63,501,83,1734,82,1654,98,1605,116,1490,,,,
1998,163,149,162,1499,158,1448,148,1433,143,1438,,,,
1997,42,592,60,1771,53,1706,77,1636,63,1605,,,,
1996,128,180,124,1613,126,1532,123,1542,86,1534,,,,
1995,112,14,,,,,,,,,,,,
1994,473,1,,,,,,,,,,,,
1993,567,,,,,,,,,,,,,
