Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,8,9,47.1%,19-20,48.7%,168-184,47.7%,2-1,66.7%,16,65.7%,26.4%,4.3%,9.0%,56.0%,67.3%,42.4%,56.3%,38.9%,48.1%,0.89
Clay,6,3,3,50.0%,7-5,58.3%,60-53,53.1%,0-1,0.0%,6,71.4%,35.7%,3.4%,8.6%,56.0%,68.2%,50.3%,60.3%,43.0%,51.2%,1.08
Grass,8,4,4,50.0%,9-8,52.9%,90-87,50.8%,2-2,50.0%,8,62.5%,38.8%,5.4%,13.0%,50.6%,66.7%,43.8%,55.4%,45.8%,50.4%,1.03
Grand Slams,5,1,4,20.0%,3-7,30.0%,34-53,39.1%,0-0,-,5,55.8%,22.7%,3.8%,10.1%,53.0%,61.3%,42.3%,52.4%,38.4%,45.7%,0.81
Premiers,12,7,5,58.3%,15-11,57.7%,122-115,51.5%,1-0,100.0%,12,64.5%,37.4%,4.5%,8.8%,54.6%,67.8%,42.4%,56.3%,44.5%,50.5%,1.02
Internationals,3,1,2,33.3%,4-4,50.0%,46-44,51.1%,1-2,33.3%,3,65.9%,37.2%,3.6%,13.5%,48.8%,65.7%,46.5%,55.9%,45.2%,50.3%,1.03
Semi-finals,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-0,-,1,30.0%,40.0%,0.0%,16.9%,55.9%,51.5%,19.2%,37.3%,45.2%,41.3%,0.72
Quarter-finals,1,1,0,100.0%,1-0,100.0%,7-6,53.8%,1-0,100.0%,1,50.0%,50.0%,25.6%,2.3%,51.2%,72.7%,47.6%,60.5%,48.5%,53.2%,1.23
vs Righties,27,13,14,48.1%,29-28,50.9%,266-275,49.2%,4-4,50.0%,26,66.3%,30.2%,4.8%,9.6%,55.2%,66.8%,44.4%,56.8%,41.3%,49.1%,0.96
vs Lefties,2,1,1,50.0%,3-3,50.0%,25-28,47.2%,0-0,-,2,66.7%,26.9%,1.2%,7.6%,52.3%,64.4%,47.6%,56.4%,39.2%,48.3%,0.90
vs Top 10,6,1,5,16.7%,3-9,25.0%,33-64,34.0%,0-0,-,6,44.9%,22.9%,2.1%,11.0%,55.1%,60.0%,35.8%,49.1%,37.2%,43.7%,0.73
