Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-06-17),,,44,1819,43,1778,,,35,1696,,,,
2023,53,1087,34,1845,33,1807,38,1751,29,1709,,,,
2022,66,836,34,1849,35,1797,43,1742,24,1737,,,,
2021,33,1740,32,1899,36,1837,35,1760,17,1771,,,,
2020,76,958,31,1831,41,1773,31,1750,,,,,,
2019,100,680,49,1830,48,1780,,,39,1702,,,,
2018,26,1800,26,1913,28,1857,29,1781,24,1775,,,,
2017,78,777,35,1853,35,1789,50,1716,25,1748,,,,
2016,82,769,59,1776,56,1733,59,1688,47,1667,,,,
2015,35,1325,39,1848,35,1793,60,1688,21,1755,,,,
2014,34,1355,44,1831,37,1795,56,1702,37,1708,,,,
2013,98,671,70,1741,87,1661,71,1667,47,1664,,,,
2012,75,842,109,1689,125,1606,102,1619,48,1658,,,,
2011,151,431,184,1516,190,1463,190,1439,142,1484,,,,
2010,325,141,,,,,,,,,,,,
2009,232,223,,,,,,,,,,,,
2008,505,36,,,,,,,,,,,,
2007,574,24,,,,,,,,,,,,
2006,939,7,,,,,,,,,,,,
