Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Miami R64,L vs Swiatek,14.6%,18.8%,46.9%,24.1%,27.6%,45.5%,57.1%,33.3%,50.0%,0.0%,10.0%,50.0%,80.0%,60.0%,100.0%,-119
2023 US Open R128,L vs Pegula,17.9%,33.3%,44.8%,23.5%,41.2%,51.3%,30.8%,52.0%,25.0%,9.5%,23.8%,31.6%,12.5%,61.5%,25.0%,-33
2023 Montreal R64,W vs Andreescu,26.3%,36.8%,61.0%,27.6%,37.9%,71.4%,12.5%,23.1%,-,25.9%,37.0%,50.0%,9.1%,25.0%,0.0%,-61
2023 Birmingham R32,L vs Williams,17.1%,35.9%,57.5%,21.9%,46.9%,56.0%,7.1%,22.2%,33.3%,14.0%,27.9%,59.5%,11.8%,15.4%,0.0%,12
2023 Roland Garros R64,L vs Pegula,28.0%,32.0%,40.0%,27.3%,27.3%,50.0%,28.6%,50.0%,100.0%,36.4%,45.5%,28.6%,0.0%,66.7%,100.0%,154
2023 Roland Garros R128,W vs Cornet,6.0%,18.0%,60.0%,4.8%,19.0%,45.0%,10.0%,27.3%,50.0%,9.1%,22.7%,75.0%,10.0%,25.0%,0.0%,-39
2023 Miami R128,W vs Kanepi,30.2%,39.6%,54.2%,36.4%,48.1%,59.2%,35.7%,30.6%,40.0%,29.2%,37.5%,47.1%,25.0%,35.7%,0.0%,141
2023 Merida F,W vs Peterson,15.7%,27.0%,57.1%,20.7%,31.0%,58.7%,37.0%,32.3%,33.3%,7.7%,23.1%,54.2%,53.8%,53.8%,50.0%,-44
2023 Australian Open R32,L vs Bencic,20.9%,29.9%,39.6%,18.6%,25.6%,37.1%,52.4%,31.8%,0.0%,31.6%,47.4%,46.2%,28.6%,50.0%,25.0%,147
2023 Australian Open R64,W vs Schmiedlova,26.6%,37.5%,50.0%,27.3%,48.5%,66.7%,23.1%,35.0%,50.0%,33.3%,33.3%,25.0%,18.2%,53.8%,0.0%,168
2023 Australian Open R128,W vs Pavlyuchenkova,33.3%,44.4%,58.3%,42.3%,61.5%,73.3%,16.7%,28.6%,0.0%,30.8%,30.8%,33.3%,16.7%,42.9%,0.0%,123
2022 Nottingham R32,W vs Kartal,19.7%,37.7%,57.1%,29.6%,51.9%,68.4%,0.0%,86.7%,100.0%,14.8%,33.3%,47.8%,36.4%,56.3%,100.0%,17
2022 Roland Garros R32,W vs Sabalenka,30.5%,40.2%,47.9%,43.5%,54.3%,57.7%,25.0%,61.5%,100.0%,18.5%,29.6%,36.4%,25.0%,60.0%,33.3%,41
2022 Australian Open R32,L vs Barty,16.3%,34.9%,64.5%,20.0%,40.0%,56.3%,11.1%,36.4%,100.0%,16.7%,38.9%,73.3%,10.0%,50.0%,50.0%,31
2022 Australian Open R64,W vs Martincova,28.6%,38.6%,61.5%,43.8%,59.4%,66.7%,33.3%,47.1%,50.0%,22.2%,29.6%,57.1%,55.6%,38.9%,50.0%,63
2022 Australian Open R128,W vs Potapova,23.2%,32.1%,60.0%,30.8%,50.0%,72.2%,7.7%,30.8%,-,18.5%,18.5%,50.0%,23.1%,57.1%,66.7%,17
2021 Tenerife SF,L vs Osorio,23.1%,26.2%,43.8%,32.5%,37.5%,55.6%,5.6%,18.2%,-,8.7%,8.7%,28.6%,18.2%,8.3%,0.0%,-27
2021 US Open R128,L vs Halep,27.1%,39.0%,47.6%,36.7%,53.3%,47.4%,23.5%,23.1%,-,17.9%,25.0%,47.8%,50.0%,77.8%,-,-62
2021 Montreal F,W vs Pliskova,29.0%,32.3%,57.9%,37.1%,40.0%,54.5%,46.2%,13.6%,100.0%,23.8%,28.6%,62.5%,28.6%,42.9%,-,94
2021 Montreal SF,W vs Pegula,25.3%,31.6%,53.2%,29.1%,38.2%,48.7%,34.6%,24.1%,25.0%,25.8%,29.0%,60.9%,25.0%,6.7%,33.3%,111
Last 52 Weeks (4 matches),,18.7%,32.7%,53.2%,23.7%,40.5%,55.3%,23.8%,32.6%,33.3%,14.9%,27.7%,50.0%,19.5%,31.7%,20.0%,17
Career (55 matches),,22.4%,32.4%,51.7%,28.1%,40.1%,53.3%,27.3%,35.2%,40.8%,19.4%,28.8%,49.4%,30.3%,39.5%,36.0%,59
