Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 US Open R128,L vs Isner,0.99,0.45,32.4,2.0,9.6%,55.8%,0.0%,67.3%,15.4%,20.0%
2019 Augsburg CH QF,L vs Lenz,0.98,0.91,45.3,2.6,-,54.2%,-,51.5%,45.8%,41.1%
2019 Augsburg CH R32,W vs Olivo,1.08,1.29,56.7,2.7,-,66.7%,-,75.7%,44.7%,24.3%
2019 Kitzbuhel Q2,W vs Benchetrit,0.96,1.15,49.6,2.6,-,74.3%,-,67.6%,36.8%,32.4%
2019 Kitzbuhel Q1,W vs Zelenay,1.38,1.68,47.2,2.7,-,65.7%,-,62.5%,50.0%,35.0%
2019 Gstaad Q2,L vs Baldi,0.96,0.77,62.1,34.2,-,67.3%,-,54.2%,41.9%,18.9%
2019 Prostejov CH R32,W vs Maamoun,1.54,2.33,29.0,2.1,-,73.1%,-,76.0%,37.9%,39.3%
2019 Roland Garros R128,L vs Delbonis,0.99,0.61,28.6,2.2,3.2%,58.1%,1.7%,55.0%,23.1%,31.3%
2019 Heilbronn CH R16,L vs Troicki,0.92,0.69,47.2,2.3,-,54.1%,-,52.9%,41.9%,26.9%
2019 Aix En Provence CH R32,L vs Couacaud,0.94,0.78,64.6,2.9,4.4%,66.7%,0.0%,51.2%,36.8%,30.3%
2019 Barcelona Q2,L vs Delbonis,0.98,0.66,48.8,2.4,0.0%,53.3%,0.0%,41.4%,41.4%,29.6%
2019 Barcelona Q1,W vs Berlocq,0.96,1.39,55.6,2.7,0.0%,51.7%,0.0%,76.9%,43.3%,63.0%
2019 Tunis CH R32,L vs Domingues,0.92,0.89,70.3,5.8,0.0%,53.8%,0.0%,60.4%,35.2%,49.0%
2019 Houston R16,L vs Querrey,0.84,0.47,41.4,2.3,3.4%,65.5%,10.7%,60.7%,21.4%,19.2%
2019 Houston R32,W vs Rubin,1.01,1.28,66.5,5.7,9.8%,74.5%,12.5%,64.6%,37.7%,38.8%
2019 Villena CH R16,L vs Taberner,0.98,0.80,67.7,4.0,0.0%,43.1%,4.3%,66.0%,34.0%,40.8%
2019 Villena CH R32,W vs Cachin,1.32,1.90,37.9,2.0,9.4%,62.5%,3.3%,66.7%,50.0%,52.4%
2019 Marbella CH R16,L vs Martinez,0.86,0.70,44.4,4.5,6.8%,65.9%,10.0%,55.0%,32.5%,31.4%
2019 Marbella CH R32,W vs Lopez Perez,1.03,1.15,79.0,25.3,5.7%,69.8%,2.0%,60.0%,46.4%,31.4%
2019 Lille CH R32,L vs Pavlasek,0.87,0.79,54.8,3.4,5.3%,68.4%,0.0%,57.6%,28.6%,38.5%
2019 (35 matches),,1.03,0.96,51.8,2.8,4.4%,62.1%,2.6%,60.5%,36.9%,34.9%
2018 (38 matches),,0.97,0.93,57.2,2.7,4.0%,62.5%,3.7%,61.9%,37.1%,35.2%
2017 (37 matches),,1.00,0.99,52.9,2.7,3.7%,61.1%,4.0%,61.1%,37.5%,39.5%
2016 (47 matches),,1.00,0.93,52.6,2.7,5.4%,62.4%,4.4%,60.9%,34.8%,36.8%
2015 (30 matches),,1.01,1.04,48.2,2.9,7.3%,63.1%,6.5%,63.3%,38.9%,37.1%
Career (318 matches),,1.01,0.97,52.6,2.8,4.0%,60.9%,3.3%,61.3%,37.3%,37.6%
