Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,17,Hard,36,19,17,52.8%,15,7,8,46.7%,2004,2020,R16,31,0.97,5.4%,4.8%,58.1%,70.0%,50.2%,61.7%,37.3%,57.5%,43.2%
Roland Garros,17,Clay,36,19,17,52.8%,15,6,9,40.0%,2004,2020,R16,33,0.98,4.1%,4.8%,58.4%,67.7%,51.3%,60.9%,38.2%,57.4%,39.9%
Wimbledon,15,Grass,24,9,15,37.5%,12,5,7,41.7%,2004,2019,R32,23,0.98,5.6%,4.2%,62.2%,72.5%,46.9%,62.8%,36.5%,57.8%,42.7%
US Open,14,Hard,26,12,14,46.2%,18,11,7,61.1%,2004,2019,R32,24,0.95,5.0%,5.7%,53.3%,70.3%,48.7%,60.2%,37.7%,59.6%,40.2%
Davis Cup,1,,1,0,1,0.0%,0,0,0,-,2013,2013,,0,,,,,,,,,,
Valencia,12,Hard,20,8,12,40.0%,4,2,2,50.0%,2003,2015,QF,20,0.90,3.7%,5.0%,57.8%,66.1%,47.4%,58.2%,37.5%,59.7%,39.8%
Madrid Masters,10,Clay,20,9,11,45.0%,7,1,6,14.3%,2009,2018,R16,18,0.96,3.7%,3.5%,58.7%,70.2%,53.1%,63.2%,35.2%,59.8%,36.7%
Miami Masters,10,Hard,19,9,10,47.4%,9,6,3,66.7%,2007,2018,R32,19,0.94,4.0%,5.1%,55.6%,72.1%,49.2%,61.9%,35.9%,56.0%,47.4%
Barcelona,10,Clay,17,7,10,41.2%,6,6,0,100.0%,2005,2019,R16,17,0.97,3.3%,4.1%,63.2%,63.1%,49.0%,58.0%,40.7%,52.9%,37.2%
Estoril,9,Clay,24,15,9,62.5%,9,5,4,55.6%,2005,2017,SF,24,1.12,2.7%,3.4%,64.9%,67.3%,52.6%,62.1%,42.3%,57.9%,46.7%
Indian Wells Masters,9,Hard,18,9,9,50.0%,5,4,1,80.0%,2007,2017,R16,18,0.99,3.4%,5.0%,56.7%,68.7%,45.8%,58.8%,40.8%,52.4%,43.3%
