Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,20,Hard,57,37,20,64.9%,35,22,13,62.9%,2005,2026,QF,57,1.10,11.0%,5.4%,61.4%,74.6%,49.8%,65.0%,38.5%,61.2%,41.0%
Roland Garros,19,Clay,59,40,19,67.8%,28,12,16,42.9%,2004,2025,SF,57,1.09,7.0%,4.0%,62.6%,70.1%,48.6%,62.1%,41.2%,61.4%,45.3%
Wimbledon,14,Grass,34,20,14,58.8%,32,20,12,62.5%,2005,2025,R16,34,1.07,13.2%,4.1%,62.6%,76.4%,51.4%,67.0%,35.1%,61.0%,33.8%
US Open,17,Hard,50,33,17,66.0%,26,12,14,46.2%,2005,2025,SF,50,1.14,10.6%,5.3%,60.3%,74.4%,50.5%,64.9%,39.9%,59.6%,42.4%
Olympics,4,,10,6,4,60.0%,4,1,3,25.0%,2008,2024,QF,9,1.11,10.1%,2.4%,62.0%,73.6%,53.5%,66.0%,37.7%,66.0%,48.1%
Davis Cup,8,,15,12,3,80.0%,8,8,0,100.0%,2009,2019,,2,1.16,8.4%,2.3%,74.8%,70.4%,51.5%,65.6%,40.0%,42.9%,63.6%
Indian Wells Masters,17,Hard,40,23,17,57.5%,13,7,6,53.8%,2005,2026,QF,39,1.03,8.5%,5.5%,60.3%,71.0%,49.5%,62.5%,38.6%,63.1%,44.3%
Acapulco,2,Hard,7,5,2,71.4%,5,3,2,60.0%,2009,2026,F,7,1.16,12.4%,4.6%,60.0%,79.9%,51.8%,68.7%,36.5%,72.5%,30.4%
Auckland,5,Hard,12,8,4,66.7%,6,4,2,66.7%,2007,2026,W,12,0.95,11.5%,5.0%,58.1%,76.1%,51.5%,65.8%,32.5%,75.3%,43.4%
Chengdu,2,Hard,2,0,2,0.0%,1,1,0,100.0%,2018,2025,R32,2,0.82,5.4%,4.1%,68.0%,62.0%,48.9%,57.8%,34.5%,46.7%,21.4%
Canada Masters,14,Hard,38,24,14,63.2%,28,16,12,57.1%,2008,2025,SF,37,1.04,9.8%,5.3%,58.8%,75.6%,48.9%,64.6%,36.8%,67.7%,38.2%
Washington,6,Hard,19,14,5,73.7%,9,6,3,66.7%,2007,2025,W,19,1.22,16.6%,5.1%,59.8%,80.0%,55.4%,70.1%,36.5%,55.6%,40.7%
