Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Miami R32,W vs Munar,1.9%,50.0%,7.9%,76.5%,14.5%,20.4%,12.5%,8.0%,15.8%,0.9%,50.0%,-76,-52
2025 Miami R128,W vs Marozsan,0.0%,-,4.0%,57.1%,21.0%,32.3%,20.0%,7.4%,18.5%,0.0%,-,-87,-71
2025 Indian Wells R32,L vs Dimitrov,0.0%,-,8.4%,70.0%,9.5%,0.0%,0.0%,8.2%,0.0%,0.4%,0.0%,-76,-69
2025 Dubai R32,L vs Berrettini,8.6%,100.0%,11.2%,61.5%,6.3%,3.3%,0.0%,10.5%,22.2%,1.2%,0.0%,-94,-98
2025 Australian Open R16,L vs Shelton,3.6%,100.0%,7.8%,89.5%,20.2%,29.0%,11.1%,9.7%,0.0%,0.8%,0.0%,-50,-17
2025 Australian Open R32,W vs Fritz,3.1%,66.7%,6.0%,66.7%,13.1%,15.0%,27.3%,7.0%,12.2%,1.5%,62.5%,-69,-27
2025 Australian Open R64,W vs Altmaier,2.3%,100.0%,6.1%,66.7%,11.1%,14.6%,40.0%,8.1%,50.0%,0.3%,0.0%,-95,-56
2025 Australian Open R128,W vs Mpetshi Perricard,2.6%,100.0%,6.8%,75.0%,14.5%,13.1%,22.2%,9.3%,28.6%,0.2%,100.0%,-89,-49
2025 Auckland F,W vs Bergs,3.6%,100.0%,8.1%,80.0%,17.8%,13.6%,50.0%,1.4%,0.0%,0.5%,0.0%,-103,-103
2025 Auckland SF,W vs Basavareddy,0.0%,-,4.8%,85.7%,12.3%,18.5%,0.0%,5.4%,4.3%,1.1%,66.7%,-95,-92
2025 Auckland QF,W vs Diaz Acosta,8.3%,100.0%,14.3%,75.0%,12.7%,25.0%,11.1%,9.0%,20.0%,0.9%,50.0%,5,-28
2025 Auckland R16,W vs Struff,6.0%,100.0%,6.8%,100.0%,17.9%,23.1%,66.7%,11.1%,28.6%,0.5%,100.0%,-54,-30
2025 Brisbane R16,L vs Djokovic,4.5%,100.0%,10.0%,50.0%,13.3%,10.7%,12.5%,3.7%,9.5%,0.0%,-,-38,-34
2024 Shanghai R16,L vs Alcaraz,5.0%,33.3%,7.8%,50.0%,18.3%,12.0%,0.0%,4.6%,16.7%,0.0%,-,-34,-56
2024 Beijing R32,L vs Medvedev,13.6%,77.8%,13.7%,66.7%,7.6%,10.3%,14.3%,5.5%,12.5%,2.1%,0.0%,-17,-19
2024 US Open R128,W vs Schwartzman,0.0%,-,3.8%,44.4%,12.7%,17.3%,23.1%,7.2%,23.1%,0.6%,0.0%,-10,-2
2024 Cincinnati R32,W vs Alcaraz,5.9%,100.0%,8.7%,78.9%,11.4%,23.1%,10.0%,7.4%,25.0%,1.5%,50.0%,18,79
2024 Cincinnati R64,W vs Popyrin,0.0%,-,1.7%,50.0%,12.7%,14.3%,0.0%,7.8%,13.3%,1.2%,0.0%,-57,-66
2024 Canada R64,L vs Kokkinakis,2.0%,100.0%,4.3%,60.0%,15.4%,27.8%,0.0%,8.5%,62.5%,1.8%,0.0%,-23,-18
2024 Wimbledon R32,L vs Dimitrov,6.0%,60.0%,10.8%,55.6%,8.5%,17.6%,0.0%,13.8%,14.3%,1.0%,0.0%,47,98
Career (150 matches),,4.5%,67.2%,8.6%,69.0%,12.1%,17.4%,10.6%,6.7%,22.3%,1.2%,25.0%,-56,-30
