Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,614,395,219,64.3%,968-584,62.4%,8188-7121,53.5%,163-112,59.3%,596,82.3%,24.1%,11.1%,4.8%,61.5%,74.3%,50.2%,65.0%,38.0%,51.4%,1.09
Clay,240,139,101,57.9%,361-277,56.6%,3197-2928,52.2%,43-44,49.4%,233,76.3%,28.1%,7.1%,4.4%,63.0%,69.4%,48.4%,61.7%,40.1%,50.8%,1.05
Grass,84,47,37,56.0%,142-101,58.4%,1282-1220,51.2%,38-19,66.7%,83,84.0%,17.6%,13.1%,4.3%,63.6%,75.6%,51.1%,66.7%,35.0%,50.7%,1.05
Carpet,10,6,4,60.0%,12-10,54.5%,109-104,51.2%,0-1,0.0%,10,78.8%,25.0%,15.5%,4.5%,55.9%,78.9%,43.9%,63.5%,38.9%,50.4%,1.07
Grand Slams,199,130,69,65.3%,454-276,62.2%,3859-3337,53.6%,66-55,54.5%,198,81.2%,25.8%,10.1%,4.7%,61.7%,73.5%,49.9%,64.5%,39.0%,51.6%,1.10
Masters,255,144,111,56.5%,322-257,55.6%,2928-2745,51.6%,57-52,52.3%,250,79.4%,23.6%,9.3%,4.9%,60.7%,72.3%,48.9%,63.1%,37.6%,50.4%,1.02
Other Tours,477,301,176,63.1%,672-423,61.4%,5713-5063,53.0%,113-69,62.1%,470,81.6%,24.0%,11.1%,4.5%,63.0%,73.4%,50.2%,64.8%,38.1%,51.3%,1.08
Best of 5,210,139,71,66.2%,482-285,62.8%,4065-3493,53.8%,73-55,57.0%,199,81.3%,25.9%,10.1%,4.7%,61.8%,73.5%,49.9%,64.5%,39.0%,51.6%,1.10
Best of 3,738,448,290,60.7%,1001-687,59.3%,8711-7880,52.5%,171-121,58.6%,723,80.8%,23.8%,10.5%,4.6%,62.2%,73.0%,49.7%,64.2%,37.9%,50.9%,1.06
Finals,35,13,22,37.1%,33-49,40.2%,377-433,46.5%,6-9,40.0%,34,76.1%,16.7%,10.4%,4.7%,63.7%,71.4%,46.5%,62.3%,33.5%,48.0%,0.89
Semi-finals,73,35,38,47.9%,83-85,49.4%,820-837,49.5%,14-20,41.2%,70,78.3%,20.9%,10.7%,4.3%,62.7%,71.9%,47.7%,62.9%,36.4%,49.6%,0.98
Quarter-finals,119,73,46,61.3%,170-118,59.0%,1460-1349,52.0%,28-15,65.1%,118,80.3%,23.4%,10.3%,4.6%,63.3%,72.7%,49.6%,64.2%,37.6%,50.8%,1.05
vs Righties,832,520,312,62.5%,1304-844,60.7%,11192-9941,53.0%,215-151,58.7%,807,80.9%,24.5%,10.4%,4.7%,61.8%,73.3%,49.7%,64.2%,38.3%,51.2%,1.07
vs Lefties,114,65,49,57.0%,175-128,57.8%,1560-1426,52.2%,29-25,53.7%,113,80.9%,23.3%,10.2%,4.4%,63.4%,72.7%,50.6%,64.6%,37.3%,50.9%,1.05
vs Top 10,145,39,106,26.9%,125-242,34.1%,1590-1981,44.5%,22-38,36.7%,136,73.6%,16.2%,9.3%,4.9%,60.8%,69.9%,45.3%,60.3%,33.5%,47.1%,0.84
