Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R64,L vs Ruud,107.7,115.5,11.2,116.8,110.5,133,94,97.7,7.1,101.5,101.7,116,85
2024 US Open R128,W vs Schwartzman,103.9,111.2,11.4,115.4,107.5,128,79,94.4,7.2,98.6,95.8,107,80
2024 Wimbledon R32,L vs Dimitrov,110.9,117.1,9.3,120.8,111.5,131,98,100.2,7.6,108.3,102.0,124,88
2024 Wimbledon R64,W vs Wawrinka,109.4,114.4,11.2,118.4,105.6,132,91,100.9,6.8,106.6,91.0,114,88
2024 Wimbledon R128,W vs Mannarino,107.4,113.5,9.4,117.1,109.9,129,93,96.2,7.3,93.7,97.0,119,82
2023 US Open R64,L vs Rublev,105.3,112.9,11.3,117.5,108.3,136,85,95.9,5.7,100.0,97.4,105,83
2023 US Open R128,W vs Daniel,108.0,113.3,11.7,119.0,107.2,135,94,96.6,5.7,97.5,98.3,116,88
2021 US Open R32,L vs Sinner,108.2,115.3,9.5,117.0,111.6,129,94,96.6,5.4,101.7,97.7,108,84
2021 US Open R64,W vs Johnson,106.4,112.6,12.3,111.8,108.7,130,65,97.1,6.1,98.8,95.3,113,83
2021 US Open R128,W vs Coria,109.9,117.9,9.9,119.3,112.9,135,99,96.3,5.5,102.3,91.3,106,87
2021 Wimbledon R128,W vs Oconnell,110.5,115.8,9.7,118.1,109.4,132,91,99.1,8.5,109.2,97.5,125,81
2019 US Open QF,L vs Berrettini,109.7,114.4,7.4,115.8,110.0,134,93,99.9,6.2,102.1,97.6,112,86
2019 US Open R16,W vs Andujar,106.7,110.7,8.2,113.5,107.4,127,93,95.0,6.9,100.3,96.0,106,82
2019 US Open R32,W vs Shapovalov,107.1,110.5,9.9,112.3,106.6,128,92,98.1,4.0,98.5,96.5,106,90
2019 US Open R64,W vs Copil,105.9,109.7,9.2,110.8,108.6,126,84,97.3,5.2,96.5,96.0,109,87
2019 US Open R128,W vs Ramos,104.2,112.2,10.1,116.1,108.4,131,90,94.1,6.8,99.0,88.7,105,71
2019 Wimbledon R128,L vs Humbert,112.0,117.0,9.9,120.5,110.5,132,96,100.3,9.1,105.4,99.6,126,85
2019 Roland Garros R16,L vs Thiem,104.5,111.0,11.2,,,132,85,91.9,6.3,,,109,73
2019 Roland Garros R32,W vs Hoang,108.3,117.4,9.1,,,131,94,97.6,7.0,,,113,81
2019 Roland Garros R64,W vs Mannarino,109.2,115.5,9.8,,,131,96,95.0,4.8,,,105,87
Career (100 matches),,107.7,114.0,9.9,117.0,109.4,139,61,96.8,6.1,99.8,96.7,138,62
