Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),215,271,201,1573,188,1540,,,,,,,,
2025,229,247,327,1437,317,1400,,,,,,,,
2024,296,174,385,1352,364,1326,396,1222,253,1330,348,178,,
2023,379,128,357,1363,328,1342,377,1246,238,1356,,,,
2022,208,265,345,1388,304,1372,,,,,,,,
2021,454,82,,,,,,,,,,,,
2020,416,93,,,,,,,,,507,81,,
2019,427,77,,,,,,,,,533,71,,
2018,647,1,,,,,,,,,848,1,,
2017,1017,10,,,,,,,,,1098,22,,
2016,1433,3,,,,,,,,,1289,12,,
