Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2017 Australian Open R64,L vs Goffin,25% (3/12),33% (1/3),1/6,54% (7/13),0% (0/7),1/1,0/0,1/2,0/0,0/1
2017 Australian Open R128,W vs Tursunov,43% (6/14),50% (3/6),0/0,13% (2/15),100% (2/2),3/3,2/2,2/2,1/1,0/0
2017 Doha QF,L vs Djokovic,22% (2/9),50% (1/2),0/3,56% (5/9),20% (1/5),0/1,0/0,0/1,0/0,0/1
2017 Doha R16,W vs De Greef,75% (6/8),67% (4/6),0/1,22% (2/9),50% (1/2),3/4,2/2,0/0,1/1,0/0
2017 Doha Q2,W vs Lopez Perez,75% (6/8),50% (3/6),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2016 Tokyo R32,W vs Robert,86% (6/7),83% (5/6),0/1,25% (2/8),50% (1/2),3/4,1/1,0/0,1/1,0/0
2016 Tokyo Q2,W vs Santillan,57% (8/14),75% (6/8),2/4,46% (6/13),33% (2/6),4/5,1/2,0/0,0/1,0/0
2016 Tokyo Q1,W vs Watanuki,50% (5/10),80% (4/5),0/2,20% (2/10),0% (0/2),3/4,2/3,0/0,1/1,0/0
2016 Chengdu R32,L vs Lu,0% (0/10),- (0/0),0/2,33% (3/9),33% (1/3),0/0,0/0,2/2,0/0,1/1
2016 Chengdu Q2,W vs Soeda,45% (5/11),100% (5/5),0/2,40% (4/10),50% (2/4),3/3,0/0,1/1,0/0,0/0
2016 Chengdu Q1,W vs Niki,30% (3/10),100% (3/3),1/1,20% (2/10),50% (1/2),2/2,0/0,2/2,0/0,0/0
2016 US Open R128,L vs Simon,15% (2/13),50% (1/2),1/5,46% (6/13),0% (0/6),1/1,0/0,1/2,0/0,1/1
2016 Canada R16,L vs Djokovic,22% (2/9),50% (1/2),0/2,67% (6/9),33% (2/6),1/1,0/0,0/2,0/0,0/1
2016 Canada R32,W vs Polansky,55% (6/11),67% (4/6),2/3,27% (3/11),0% (0/3),2/3,0/0,2/2,0/0,0/0
2016 Canada R64,W vs Paire,63% (5/8),80% (4/5),0/0,38% (3/8),100% (3/3),3/3,1/1,0/0,0/0,0/0
2016 Wimbledon R128,L vs Kyrgios,10% (2/20),100% (2/2),0/5,39% (7/18),14% (1/7),2/2,0/0,3/4,0/0,2/2
2016 Stuttgart QF,L vs Kohlschreiber,27% (3/11),0% (0/3),0/2,27% (3/11),33% (1/3),0/0,0/0,0/0,0/0,0/0
2016 Stuttgart R16,W vs Cilic,17% (2/12),50% (1/2),0/0,8% (1/12),100% (1/1),0/0,0/0,2/2,0/0,0/0
2016 Stuttgart R32,W vs Istomin,33% (5/15),80% (4/5),1/3,53% (8/15),63% (5/8),3/4,2/2,1/1,1/1,0/0
2016 Stuttgart Q2,W vs Ward,63% (5/8),100% (5/5),0/0,0% (0/7),- (0/0),4/4,1/1,0/0,0/0,0/0
2017 (5 matches),,45.1%,52.2%,10.0%,29.1%,25.0%,83.3%,100.0%,60.0%,100.0%,0.0%
2016 (30 matches),,36.9%,70.1%,24.2%,31.5%,36.6%,83.1%,78.6%,75.0%,80.0%,72.7%
2015 (20 matches),,26.3%,66.2%,7.7%,29.6%,40.0%,90.7%,90.9%,75.0%,100.0%,87.5%
2014 (40 matches),,38.3%,70.0%,24.1%,27.9%,31.3%,76.2%,74.4%,71.1%,82.4%,75.0%
2013 (45 matches),,40.9%,69.7%,27.1%,29.9%,35.4%,81.2%,78.2%,81.8%,87.5%,85.7%
Career (211 matches),,35.8%,66.8%,21.8%,31.5%,34.2%,81.4%,81.7%,73.1%,88.8%,68.0%
