Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2014 Wimbledon R64,L vs Djokovic,30.3%,40.1%,52.1%,40.6%,38.5%,48.4%,58.9%,54.6%,39.0%,34.0%,50.0%,16.7%,27.1%,42.5%,-19
2014 Indian Wells R64,L vs Nadal,29.4%,42.2%,47.8%,36.9%,46.6%,60.3%,48.4%,59.7%,53.6%,43.3%,50.0%,7.7%,20.5%,47.2%,-43
2014 Sydney QF,L vs Del Potro,16.0%,29.6%,55.4%,22.0%,23.1%,38.5%,56.7%,35.4%,66.7%,45.8%,0.0%,10.3%,23.1%,54.3%,-13
2013 Australian Open R32,L vs Djokovic,23.4%,29.9%,51.3%,33.9%,30.1%,39.7%,56.9%,45.6%,52.6%,60.0%,100.0%,10.0%,10.0%,40.7%,-18
2011 Munich SF,L vs Davydenko,18.5%,25.9%,37.2%,24.8%,25.8%,32.3%,43.5%,36.8%,38.5%,50.0%,20.0%,9.1%,18.2%,30.0%,-22
2011 Brisbane QF,W vs Mayer,28.0%,38.0%,61.1%,36.6%,33.3%,54.2%,75.0%,51.2%,61.5%,63.6%,-,23.1%,23.1%,50.0%,-79
2009 Paris SF,L vs Monfils,14.4%,26.9%,51.8%,25.5%,19.7%,37.7%,61.2%,38.5%,44.4%,24.0%,0.0%,7.7%,12.8%,38.9%,-41
2009 Shanghai QF,L vs Davydenko,23.9%,35.9%,36.8%,31.0%,34.7%,49.0%,43.8%,48.0%,56.5%,53.8%,60.0%,12.2%,22.0%,30.6%,-9
2009 Memphis F,L vs Roddick,28.4%,41.8%,53.3%,33.0%,50.0%,63.2%,47.4%,58.2%,45.5%,25.0%,-,0.0%,15.4%,57.7%,-118
2008 Rome SF,L vs Djokovic,18.8%,25.0%,9.1%,18.8%,33.3%,33.3%,0.0%,33.3%,33.3%,16.7%,50.0%,0.0%,20.0%,20.0%,-118
2007 Canada SF,L vs Federer,25.8%,51.5%,54.2%,35.6%,31.0%,61.9%,51.7%,46.4%,47.6%,47.6%,66.7%,17.4%,34.8%,57.9%,-16
2006 Wimbledon QF,L vs Bjorkman,39.1%,52.5%,47.4%,47.8%,49.6%,65.5%,54.4%,63.4%,54.2%,36.9%,100.0%,25.9%,37.0%,37.5%,115
2006 Hamburg F,L vs Robredo,16.5%,36.9%,44.7%,28.2%,22.7%,40.9%,51.0%,40.9%,34.4%,52.9%,50.0%,5.6%,30.6%,35.3%,-59
2006 Hamburg SF,W vs Acasuso,31.9%,51.4%,63.0%,41.9%,41.9%,69.8%,76.0%,58.6%,47.6%,63.6%,-,19.2%,26.9%,47.6%,72
2005 Paris SF,L vs Berdych,45.6%,50.0%,30.6%,48.7%,52.9%,58.8%,33.3%,57.1%,60.0%,42.3%,50.0%,25.0%,25.0%,25.0%,10
2004 Paris F,L vs Safin,31.1%,41.7%,47.8%,38.5%,41.8%,54.5%,59.4%,55.8%,56.5%,46.9%,33.3%,20.5%,29.5%,37.1%,47
2004 Paris SF,W vs Mirnyi,44.4%,54.4%,56.8%,49.2%,59.0%,67.2%,56.0%,66.1%,60.0%,30.6%,50.0%,17.4%,34.8%,57.9%,34
2004 Gstaad QF,L vs Federer,35.4%,47.6%,40.0%,41.1%,32.7%,46.9%,45.5%,42.2%,31.8%,33.3%,0.0%,43.3%,53.3%,29.4%,59
Career (18 matches),,28.7%,41.2%,48.5%,36.8%,38.2%,52.6%,53.7%,51.6%,49.2%,42.7%,48.1%,15.7%,26.3%,42.1%,39
