Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
16,Roger Federer [SUI],2,14,12.5%,8,4,4,50.0%,2002,2014,15,0.71,5.8%,3.9%,61.6%,67.7%,45.5%,59.2%,29.0%,47.4%,29.6%
14,Novak Djokovic [SRB],1,13,7.1%,7,4,3,57.1%,2006,2017,13,0.72,7.0%,3.2%,62.0%,68.3%,43.6%,58.9%,29.5%,57.3%,30.2%
11,David Ferrer [ESP],3,8,27.3%,3,1,2,33.3%,2004,2015,9,0.94,4.8%,5.0%,59.2%,69.7%,43.7%,59.1%,38.5%,52.4%,48.6%
11,Feliciano Lopez [ESP],8,3,72.7%,4,2,2,50.0%,2002,2014,11,1.27,9.8%,3.4%,63.7%,75.8%,61.6%,70.6%,37.3%,77.8%,42.9%
11,Nikolay Davydenko [RUS],4,7,36.4%,4,2,2,50.0%,2002,2012,10,0.92,8.3%,3.7%,61.6%,70.4%,42.0%,59.5%,37.2%,67.0%,40.4%
10,Viktor Troicki [SRB],5,5,50.0%,3,1,2,33.3%,2008,2013,9,1.01,6.0%,4.6%,65.4%,66.6%,49.1%,60.5%,40.0%,57.9%,43.0%
9,Philipp Kohlschreiber [GER],7,2,77.8%,2,0,2,0.0%,2000,2016,8,1.22,9.8%,3.2%,59.0%,75.7%,54.5%,67.0%,40.2%,79.1%,43.3%
9,Andy Murray [GBR],2,7,22.2%,2,1,1,50.0%,2005,2016,9,0.81,5.4%,4.4%,64.2%,67.7%,43.2%,59.0%,33.3%,55.4%,32.7%
9,Gael Monfils [FRA],3,6,33.3%,0,0,0,-,2005,2014,9,0.98,4.7%,2.8%,58.5%,70.6%,46.1%,60.4%,38.6%,46.7%,54.1%
9,Jarkko Nieminen [FIN],5,4,55.6%,5,2,3,40.0%,2003,2012,9,1.00,5.3%,2.6%,63.4%,66.3%,49.0%,60.0%,39.9%,61.5%,49.2%
9,Xavier Malisse [BEL],6,3,66.7%,5,2,3,40.0%,2004,2012,8,1.09,8.0%,4.3%,65.1%,71.9%,51.0%,64.6%,38.6%,68.2%,32.8%
8,Mikhail Youzhny [RUS],4,4,50.0%,5,4,1,80.0%,2002,2014,7,1.03,7.1%,2.9%,62.5%,72.5%,50.0%,64.0%,37.2%,67.2%,30.9%
8,Michael Llodra [FRA],7,1,87.5%,6,4,2,66.7%,2004,2013,8,1.38,10.1%,3.9%,61.9%,81.6%,54.8%,71.4%,39.4%,81.6%,44.3%
8,Andy Roddick [USA],1,7,12.5%,3,1,2,33.3%,2005,2011,8,0.82,11.9%,5.6%,59.5%,76.0%,49.0%,65.1%,28.5%,59.6%,33.3%
8,Rainer Schuettler [GER],6,2,75.0%,3,1,2,33.3%,2002,2009,8,1.12,9.6%,2.6%,65.5%,75.0%,49.8%,66.3%,37.7%,74.3%,37.0%
