Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1983,,,22,1933,,,42,1726,20,1803,,,,
1982,,,38,1835,48,1663,49,1694,38,1696,,,,
1980,,,7,2072,6,1903,18,1809,9,1886,,,,
1979,,,8,2007,7,1854,,,11,1836,,,,
1978,,,3,2096,4,1912,,,4,1912,,,,
1977,,,3,2088,3,1897,11,1845,4,1899,,,,
1975,,,5,2146,5,1963,,,2,2049,,,,
1974,,,3,2186,3,1969,3,2021,3,2088,,,,
1973,,,3,2273,3,2058,4,2113,2,2174,,,,
1972,,,1,2338,1,2138,2,2209,1,2231,,,,
1971,,,2,2325,2,2123,2,2177,2,2188,,,,
1970,,,2,2247,2,2064,3,2082,2,2144,,,,
1969,,,2,2230,2,2052,6,2024,2,2104,,,,
1968,,,1,2279,1,2084,2,2134,1,2193,,,,
1967,,,1,2236,1,2071,2,2096,1,2132,,,,
1966,,,3,2154,1,2008,6,1948,3,2055,,,,
1965,,,4,2099,3,1941,12,1827,4,2011,,,,
1964,,,5,2057,4,1913,,,4,1969,,,,
1963,,,6,2016,4,1865,14,1794,6,1905,,,,
1962,,,16,1846,9,1708,38,1631,14,1790,,,,
1961,,,19,1834,12,1654,25,1657,15,1776,,,,
1960,,,27,1768,15,1599,51,1505,22,1704,,,,
1959,,,61,1547,28,1406,,,52,1481,,,,
