Date,Tournament,Surface,Rd,,Score
16-Nov-1970,Wembley,Carpet,F,King / Rosie Casals [USA] d. Ann Jones / Virginia Wade [GBR],6-3 7-5
05-Nov-1970,Richmond,Clay,F,(1) King / Rosie Casals [USA] d. (2) Mary Ann Eisel / Valerie Ziegenfuss [USA],6-4 6-4
22-Jun-1970,Wimbledon,Grass,F,(2) King / Rosie Casals [USA] d. (4) Francoise Durr [FRA] / Virginia Wade [GBR],6-2 6-3
15-Jun-1970,Queen's Club,Grass,F,King / Rosie Casals [USA] d. Karen Krantzcke / Kerry Reid [AUS],6-4 6-3
25-May-1970,Roland Garros,Clay,F,(3) Gail Sherriff / Francoise Durr [FRA] d. (1) King / Rosie Casals [USA],6-1 3-6 6-3
20-Jan-1969,Australian Open,Grass,F,(2) Margaret Court / Judy Tegart [AUS] d. (1) King / Rosie Casals [USA],6-4 6-4
29-Aug-1968,US Open,Grass,F,(3) Maria Bueno [BRA] / Margaret Court [AUS] d. (1) King / Rosie Casals [USA],4-6 9-7 8-6
24-Jun-1968,Wimbledon,Grass,F,(1) King / Rosie Casals [USA] d. (3) Francoise Durr [FRA] / Ann Jones [GBR],3-6 6-4 7-5
27-May-1968,Roland Garros,Clay,F,(2) Francoise Durr [FRA] / Ann Jones [GBR] d. (1) King / Rosie Casals [USA],7-5 4-6 6-4
30-Aug-1967,US National Championships,Grass,F,(1) King / Rosie Casals [USA] d. Mary Ann Eisel / Donna Floyd [USA],3-6 6-3 6-4
26-Jun-1967,Wimbledon,Grass,F,King / Rosie Casals [USA] d. Maria Bueno [BRA] / Nancy Richey [USA],9-11 6-4 6-2
01-Sep-1966,US National Championships,Grass,F,(1) Maria Bueno [BRA] / Nancy Richey [USA] d. (2) King / Rosie Casals [USA],6-3 6-4
03-Sep-1965,US National Championships,Grass,F,Carole Graebner / Nancy Richey [USA] d. King / Karen Susman [USA],6-4 6-4
22-Jun-1965,Wimbledon,Grass,F,King / Maria Bueno [BRA] d. Francoise Durr / Janine Lieffrig [FRA],6-2 7-5
22-Jan-1965,Australian Championships,Grass,F,(1) Margaret Court / Lesley Turner [AUS] d. (3) King / Robyn Ebbern [AUS],1-6 6-2 6-3
02-Sep-1964,US National Championships,Grass,F,(2) King / Karen Susman [USA] d. (1) Margaret Court / Lesley Turner [AUS],3-6 6-2 6-4
22-Jun-1964,Wimbledon,Grass,F,(1) Margaret Court / Lesley Turner [AUS] d. (2) King / Karen Susman [USA],7-5 6-2
31-Aug-1962,US National Championships,Grass,F,(1) Maria Bueno [BRA] / Darlene Hard [USA] d. (2) King / Karen Susman [USA],4-6 6-3 6-2
25-Jun-1962,Wimbledon,Grass,F,(2) King / Karen Susman [USA] d. (4) Sandra Reynolds / Renee Schuurman [RSA],5-7 6-3 7-5
26-Jun-1961,Wimbledon,Grass,F,King / Karen Susman [USA] d. (3) Jan Lehane / Margaret Court [AUS],6-3 6-4
