Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
1982 Wimbledon SF,L vs Evert,88.2%,43.3%,3.9%,4/0,1.95,3.2%,93.8%,42.7%,2.5%,1.85,2.9%,71.4%,46.7%,9.5%,2.08,3.6%
1982 Wimbledon QF,W vs Austin,92.9%,52.3%,22.9%,8/8,2.08,4.5%,96.2%,52.0%,25.0%,2.03,7.0%,88.2%,53.3%,17.6%,2.17,0.0%
1980 Wimbledon QF,L vs Navratilova,70.2%,50.0%,22.8%,6/20,1.94,81.0%,73.1%,42.9%,26.9%,1.89,92.1%,72.1%,61.3%,18.6%,2.09,47.6%
1974 US Open F,W vs Goolagong,76.1%,48.6%,21.7%,16/4,2.00,65.5%,81.0%,53.2%,24.1%,1.94,69.4%,88.5%,39.1%,23.1%,2.16,54.5%
1973 Wimbledon F,W vs Evert,88.5%,52.2%,9.6%,3/2,2.19,26.8%,91.9%,50.0%,10.8%,1.87,26.1%,100.0%,58.3%,8.3%,2.59,27.8%
1973 Wimbledon SF,W vs Goolagong,80.7%,57.6%,14.9%,9/8,1.83,91.4%,82.1%,50.9%,17.9%,1.66,90.0%,88.1%,67.6%,11.9%,2.26,95.0%
1971 US Open SF,W vs Evert,82.8%,58.5%,9.4%,3/3,1.81,27.0%,91.5%,55.8%,4.3%,1.62,40.0%,62.5%,70.0%,25.0%,2.02,11.8%
1971 Wimbledon SF,L vs Goolagong,77.4%,37.5%,19.4%,5/7,1.91,62.0%,79.4%,33.3%,20.6%,1.85,61.5%,77.8%,42.9%,18.5%,2.13,63.6%
1970 Wimbledon F,L vs Court,76.7%,44.0%,16.6%,5/22,2.07,93.6%,79.6%,36.0%,13.9%,2.03,94.8%,81.3%,61.5%,25.0%,2.14,90.9%
1969 Wimbledon F,L vs Jones,72.1%,53.2%,17.4%,5/10,2.12,70.4%,75.4%,46.9%,12.3%,2.03,80.6%,76.5%,76.9%,41.2%,2.24,56.5%
1968 Wimbledon F,W vs Tegart,60.9%,43.4%,14.9%,8/5,2.20,52.9%,62.0%,41.9%,8.0%,2.02,70.8%,81.5%,45.5%,33.3%,2.37,37.0%
Career (11 matches),,77.9%,49.0%,16.0%,44.7%,2.01,57.9%,82.1%,45.6%,14.9%,1.91,64.5%,80.4%,56.7%,20.9%,2.20,45.2%
