Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1990,8,2,6,25.0%,5-13,27.8%,65-97,40.1%,1-1,50.0%,0,,,,,,,,,,,,R16 (Oklahoma)
1989,1,0,1,0.0%,1-1,50.0%,10-11,47.6%,0-1,0.0%,0,,,,,,,,,,,,R32 (Albuquerque)
1987,24,13,11,54.2%,27-22,55.1%,225-202,52.7%,2-1,66.7%,0,,,,,,,,,,,,SF (2x)
1986,40,25,15,62.5%,50-31,61.7%,401-314,56.1%,6-3,66.7%,0,,,,,,,,,,,,F (Oakland)
1985,48,31,17,64.6%,65-45,59.1%,534-421,55.9%,4-1,80.0%,0,,,,,,,,,,,,F (Melbourne)
1984,37,25,12,67.6%,51-25,67.1%,392-296,57.0%,3-3,50.0%,0,,,,,,,,,,,,F (2x)
1983,67,44,23,65.7%,88-54,62.0%,677-531,56.0%,8-6,57.1%,0,,,,,,,,,,,,F (5x)
1982,42,23,19,54.8%,47-44,51.6%,387-389,49.9%,5-3,62.5%,0,,,,,,,,,,,,W (Boston)
1981,48,28,20,58.3%,60-38,61.2%,483-390,55.3%,3-8,27.3%,0,,,,,,,,,,,,BR (2x)
1980,60,38,22,63.3%,79-48,62.2%,598-474,55.8%,5-1,83.3%,0,,,,,,,,,,,,SF (Toronto)
1979,39,26,13,66.7%,52-28,65.0%,381-288,57.0%,1-5,16.7%,0,,,,,,,,,,,,W (Orlando)
1978,7,4,3,57.1%,9-7,56.3%,77-66,53.8%,0-0,-,0,,,,,,,,,,,,R32 (2x)
1977,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,,R32 (Westchester Futures)
Career,422,259,163,61.4%,534-358,59.9%,4235-3491,54.8%,38-33,53.5%,0,,,,,,,,,,,,
