Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,2,Grass,9,7,2,77.8%,3,2,1,66.7%,1981,1983,F,0,,,,,,,,,,
Roland Garros,5,Clay,13,8,5,61.5%,1,1,0,100.0%,1980,1986,QF,0,,,,,,,,,,
Wimbledon,11,Grass,34,23,11,67.6%,3,2,1,66.7%,1978,1990,SF,0,,,,,,,,,,
US Open,12,Hard,35,23,12,65.7%,3,1,2,33.3%,1977,1990,R16,0,,,,,,,,,,
Wightman Cup,2,Carpet,2,1,1,50.0%,1,0,1,0.0%,1979,1980,W,0,,,,,,,,,,
Fed Cup,3,,9,6,3,66.7%,2,2,0,100.0%,1980,1985,,0,,,,,,,,,,
Eastbourne,9,Grass,24,15,9,62.5%,3,3,0,100.0%,1990,1990,F,0,,,,,,,,,,
Dallas,7,Carpet,18,11,7,61.1%,5,1,4,20.0%,1979,1985,F,0,,,,,,,,,,
Boston,5,Carpet,18,14,4,77.8%,3,2,1,66.7%,1980,1984,W,0,,,,,,,,,,
Oakland,5,Carpet,13,8,5,61.5%,3,3,0,100.0%,1980,1986,F,0,,,,,,,,,,
Chicago,5,Carpet,11,6,5,54.5%,2,0,2,0.0%,1980,1985,SF,0,,,,,,,,,,
San Diego,4,Hard,16,12,4,75.0%,2,2,0,100.0%,1979,1986,W,0,,,,,,,,,,
