Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,138,89,49,64.5%,180-114,61.2%,1397-1124,55.4%,16-10,61.5%,0,,,,,,,,,,,
Clay,46,26,20,56.5%,56-42,57.1%,462-397,53.8%,4-4,50.0%,0,,,,,,,,,,,
Grass,89,57,32,64.0%,117-74,61.3%,931-741,55.7%,10-3,76.9%,0,,,,,,,,,,,
Carpet,148,87,61,58.8%,181-126,59.0%,1439-1217,54.2%,8-16,33.3%,0,,,,,,,,,,,
Grand Slams,87,58,29,66.7%,119-67,64.0%,925-699,57.0%,6-4,60.0%,0,,,,,,,,,,,
Premiers,4,3,1,75.0%,5-4,55.6%,42-37,53.2%,1-0,100.0%,0,,,,,,,,,,,
Finals,13,2,11,15.4%,7-22,24.1%,103-159,39.3%,0-2,0.0%,0,,,,,,,,,,,
Semi-finals,29,13,16,44.8%,22-32,40.7%,212-254,45.5%,4-3,57.1%,0,,,,,,,,,,,
Quarter-finals,55,27,28,49.1%,60-59,50.4%,515-506,50.4%,7-6,53.8%,0,,,,,,,,,,,
vs Righties,219,115,104,52.5%,244-221,52.5%,2075-1970,51.3%,19-19,50.0%,0,,,,,,,,,,,
vs Lefties,31,13,18,41.9%,32-38,45.7%,287-309,48.2%,2-3,40.0%,0,,,,,,,,,,,
vs Top 10,33,8,25,24.2%,16-49,24.6%,230-343,40.1%,3-3,50.0%,0,,,,,,,,,,,
