Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1990,207,3,,,,,,,,,,,,
1987,35,22,29,1900,35,1768,,,19,1809,,,,
1986,15,37,12,2024,12,1904,25,1831,9,1960,,,,
1985,,,13,2069,16,1927,,,10,1980,,,,
1984,10,,8,2089,7,1919,16,1904,4,2036,,,,
1983,,,12,2078,7,1939,19,1896,11,1967,,,,
1982,,,16,1949,16,1815,26,1807,14,1837,,,,
1981,,,21,1923,16,1848,35,1767,15,1851,,,,
1980,,,13,2020,11,1900,11,1903,12,1883,,,,
1979,,,9,2036,9,1885,21,1782,13,1877,,,,
