Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Beijing QF,L vs Noskova,0.0%,-,8.8%,55.6%,18.9%,23.1%,0.0%,4.4%,0.0%,0.0%,-,-64,-69
2025 Beijing R16,W vs Andreeva,0.0%,-,8.2%,56.3%,8.9%,18.2%,0.0%,6.4%,33.3%,0.4%,0.0%,-69,-44
2025 Nottingham R16,L vs Boulter,0.0%,-,5.2%,80.0%,12.0%,30.0%,0.0%,8.7%,33.3%,1.8%,40.0%,-61,-19
2025 Nottingham R32,W vs Jeanjean,0.0%,-,10.9%,66.7%,8.3%,10.7%,0.0%,5.7%,28.6%,0.7%,0.0%,-58,-45
2025 Queens Club R32,W vs Kasatkina,1.1%,100.0%,6.1%,63.6%,12.9%,20.8%,33.3%,6.0%,21.4%,2.4%,50.0%,-8,-28
2025 BJK Cup Qualifiers RR,W vs Vedder,1.2%,100.0%,9.2%,68.8%,16.2%,16.3%,26.7%,6.5%,44.4%,1.7%,42.9%,-33,-36
2025 Indian Wells R32,W vs Kudermetova,0.0%,-,4.4%,83.3%,11.7%,30.0%,100.0%,12.1%,100.0%,0.0%,-,-82,-63
2025 Australian Open R128,L vs Bouzas Maneiro,0.0%,-,4.7%,66.7%,10.0%,20.0%,0.0%,3.8%,33.3%,0.0%,-,-67,-56
2024 Monastir F,W vs Sramkova,0.0%,-,9.7%,78.6%,14.3%,19.2%,0.0%,5.3%,57.1%,0.5%,0.0%,-123,-112
2023 Bad Homburg R32,L vs Andreescu,0.0%,-,3.4%,28.6%,17.8%,27.6%,20.0%,10.5%,50.0%,0.6%,50.0%,1,33
2022 Wimbledon R128,L vs Pattinama Kerkhove,0.0%,-,2.6%,50.0%,8.5%,14.3%,0.0%,4.5%,14.3%,1.2%,66.7%,-103,-60
2022 Nottingham R32,L vs Giorgi,0.0%,-,2.6%,100.0%,10.9%,25.0%,0.0%,0.0%,0.0%,0.6%,0.0%,-179,-129
Last 52 Weeks (6 matches),,0.4%,100.0%,7.8%,64.9%,12.4%,18.9%,20.0%,6.4%,29.6%,1.3%,38.5%,-46,-38
Career (12 matches),,0.2%,100.0%,6.3%,65.8%,12.7%,20.3%,17.9%,6.3%,33.0%,0.9%,38.2%,-65,-48
