Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Beijing QF,L vs Noskova,16.1%,21.4%,41.3%,22.0%,29.3%,40.6%,28.6%,50.0%,50.0%,0.0%,0.0%,42.9%,0.0%,57.1%,-,-119
2025 Beijing R16,W vs Andreeva,24.8%,29.5%,52.6%,30.4%,36.2%,54.2%,51.5%,38.9%,0.0%,14.3%,17.1%,50.0%,25.0%,26.1%,0.0%,-70
2025 Nottingham R16,L vs Boulter,31.0%,38.0%,47.0%,35.6%,45.2%,46.8%,52.9%,46.2%,33.3%,20.8%,20.8%,47.4%,10.0%,92.9%,100.0%,30
2025 Nottingham R32,W vs Jeanjean,23.0%,29.5%,62.2%,23.8%,28.6%,59.4%,71.4%,33.3%,0.0%,23.5%,35.3%,69.2%,0.0%,90.0%,-,23
2025 Queens Club R32,W vs Kasatkina,13.7%,27.4%,56.1%,14.7%,32.4%,60.3%,57.1%,52.5%,100.0%,11.1%,14.8%,45.8%,6.3%,90.9%,100.0%,-104
2025 BJK Cup Qualifiers RR,W vs Vedder,20.2%,32.1%,60.6%,22.1%,35.3%,60.4%,45.2%,43.2%,50.0%,13.3%,20.0%,61.5%,0.0%,12.5%,0.0%,-28
2025 Indian Wells R32,W vs Kudermetova,23.0%,28.4%,52.6%,24.5%,32.7%,40.5%,63.2%,43.3%,0.0%,20.0%,20.0%,75.0%,0.0%,76.9%,100.0%,-104
2025 Australian Open R128,L vs Bouzas Maneiro,20.0%,23.1%,37.3%,25.0%,27.5%,30.0%,40.0%,44.0%,0.0%,12.5%,16.7%,47.6%,0.0%,81.8%,100.0%,-56
2024 Monastir F,W vs Sramkova,17.8%,21.9%,46.6%,25.5%,29.8%,54.3%,47.6%,30.8%,0.0%,4.2%,8.3%,34.8%,0.0%,90.9%,100.0%,-74
2023 Bad Homburg R32,L vs Andreescu,27.3%,36.4%,46.8%,30.7%,42.7%,51.9%,31.3%,11.6%,11.1%,21.9%,25.0%,36.0%,12.5%,50.0%,50.0%,0
2022 Wimbledon R128,L vs Pattinama Kerkhove,20.5%,24.7%,38.6%,24.5%,26.4%,32.5%,45.5%,25.8%,0.0%,10.5%,21.1%,52.9%,10.0%,55.6%,50.0%,-43
2022 Nottingham R32,L vs Giorgi,20.8%,24.5%,35.9%,25.0%,30.6%,44.4%,25.0%,55.0%,20.0%,14.3%,14.3%,16.7%,0.0%,40.0%,-,17
Last 52 Weeks (6 matches),,22.0%,30.3%,53.5%,25.2%,35.5%,54.4%,51.2%,44.6%,47.6%,14.4%,18.2%,51.3%,8.5%,58.9%,66.7%,-35
Career (12 matches),,22.0%,29.0%,48.9%,25.7%,34.2%,49.3%,47.1%,38.6%,25.0%,14.4%,18.1%,48.1%,6.1%,63.0%,71.4%,-28
