Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Beijing QF,L vs Noskova,58.7%,40.7%,10.9%,2/3,2.15,2.2%,65.5%,42.1%,6.9%,2.24,3.1%,57.1%,37.5%,21.4%,1.96,0.0%
2025 Beijing R16,W vs Andreeva,71.4%,35.4%,3.3%,0/3,2.34,9.0%,75.0%,31.1%,1.7%,2.44,14.6%,80.0%,45.0%,8.0%,2.19,0.0%
2025 Nottingham R16,L vs Boulter,64.5%,51.7%,8.6%,5/3,2.52,16.7%,62.5%,54.3%,10.7%,2.50,23.4%,83.3%,48.0%,6.7%,2.57,0.0%
2025 Nottingham R32,W vs Jeanjean,85.7%,51.5%,2.6%,0/2,2.64,48.9%,80.4%,43.9%,0.0%,2.78,65.6%,100.0%,64.0%,8.0%,2.29,7.7%
2025 Queens Club R32,W vs Kasatkina,81.0%,47.1%,0.0%,0/0,2.55,11.0%,85.5%,44.7%,0.0%,2.66,15.5%,87.5%,52.4%,0.0%,2.29,0.0%
2025 BJK Cup Qualifiers RR,W vs Vedder,84.4%,51.3%,3.3%,2/1,2.33,1.5%,77.4%,61.0%,3.8%,2.43,1.9%,97.2%,40.0%,2.8%,1.93,0.0%
2025 Indian Wells R32,W vs Kudermetova,81.0%,47.1%,11.1%,4/3,2.77,7.0%,80.0%,42.9%,17.1%,2.88,10.8%,95.8%,52.2%,4.2%,2.57,0.0%
2025 Australian Open R128,L vs Bouzas Maneiro,88.7%,40.0%,3.2%,1/1,2.55,3.9%,88.1%,37.8%,4.8%,2.51,6.7%,94.7%,44.4%,0.0%,2.62,0.0%
2024 Monastir F,W vs Sramkova,90.1%,65.6%,0.0%,0/0,2.46,0.0%,86.8%,63.6%,0.0%,2.54,0.0%,93.9%,67.7%,0.0%,2.34,0.0%
2023 Bad Homburg R32,L vs Andreescu,65.6%,50.8%,8.3%,5/3,2.33,27.6%,70.5%,51.2%,9.8%,2.36,37.3%,62.5%,50.0%,6.3%,2.28,8.0%
2022 Wimbledon R128,L vs Pattinama Kerkhove,71.6%,53.4%,8.6%,5/2,2.48,0.0%,76.5%,51.3%,11.8%,2.46,0.0%,70.4%,57.9%,3.7%,2.54,0.0%
2022 Nottingham R32,L vs Giorgi,68.9%,42.9%,8.2%,1/4,2.83,5.4%,70.4%,31.6%,3.7%,2.73,8.0%,85.2%,52.2%,14.8%,3.05,0.0%
Last 52 Weeks (6 matches),,75.3%,47.0%,4.4%,42.9%,2.43,13.3%,75.0%,46.1%,3.6%,2.51,18.5%,87.0%,48.5%,6.5%,2.23,0.9%
Career (12 matches),,76.0%,48.8%,5.5%,50.0%,2.48,11.1%,76.5%,46.8%,5.7%,2.53,15.8%,84.8%,51.9%,5.7%,2.37,1.3%
