Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,6,2,4,33.3%,5-5,50.0%,45-38,54.2%,0-0,-,5,74.4%,30.2%,5.5%,2.2%,71.0%,66.3%,53.2%,62.5%,40.6%,51.5%,1.08,R16 (2x)
2025,36,14,22,38.9%,39-47,45.3%,434-433,50.1%,5-12,29.4%,36,78.6%,22.3%,4.7%,2.4%,67.5%,67.7%,51.5%,62.4%,37.0%,49.9%,0.98,F (Brisbane 3)
2024,49,24,25,49.0%,58-58,50.0%,571-580,49.6%,14-8,63.6%,49,74.8%,23.6%,5.3%,2.2%,68.0%,66.9%,50.8%,61.8%,38.1%,49.8%,1.00,W (Nonthaburi 4)
2023,40,22,18,55.0%,51-46,52.6%,492-473,51.0%,7-8,46.7%,40,78.6%,23.7%,5.2%,2.9%,68.2%,68.5%,51.4%,63.1%,38.5%,50.8%,1.04,F (2x)
2022,39,22,17,56.4%,51-43,54.3%,473-442,51.7%,9-10,47.4%,34,79.1%,23.4%,5.4%,2.6%,67.0%,69.0%,52.2%,63.5%,37.9%,50.7%,1.04,W (Tallahassee)
2021,27,11,16,40.7%,25-34,42.4%,270-292,48.0%,3-5,37.5%,27,75.7%,20.4%,5.7%,2.8%,67.4%,66.2%,49.2%,60.7%,36.1%,48.4%,0.92,F (Istanbul 2)
2020,9,4,5,44.4%,10-10,50.0%,95-95,50.0%,2-0,100.0%,9,64.2%,33.7%,8.0%,3.2%,66.6%,67.2%,38.5%,57.6%,42.9%,50.3%,1.01,R16 (4x)
2019,48,27,21,56.3%,56-48,53.8%,533-491,52.1%,5-12,29.4%,47,81.2%,23.5%,7.7%,3.5%,64.2%,71.7%,51.1%,64.3%,37.1%,50.8%,1.04,F (Santiago)
2018,13,5,8,38.5%,15-14,51.7%,140-148,48.6%,4-2,66.7%,13,76.2%,19.4%,7.7%,3.7%,59.0%,71.7%,50.0%,62.8%,37.3%,49.8%,1.00,R16 (5x)
2017,2,0,2,0.0%,1-4,20.0%,22-28,44.0%,0-1,0.0%,2,72.0%,16.7%,5.2%,4.5%,63.9%,65.7%,46.4%,58.7%,36.1%,47.3%,0.87,R32 (2x)
2016,3,1,2,33.3%,2-4,33.3%,25-35,41.7%,1-0,100.0%,3,69.0%,13.3%,6.1%,2.5%,62.4%,65.0%,45.9%,57.9%,31.1%,45.2%,0.74,R16 (Kaohsiung)
Career,272,132,140,48.5%,313-313,50.0%,3100-3055,50.4%,50-58,46.3%,265,77.3%,23.1%,5.8%,2.8%,66.6%,68.4%,50.6%,62.5%,37.7%,50.1%,1.00,
