Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),358,136,373,1401,349,1371,282,1419,,,,,,
2025,385,127,372,1386,356,1356,280,1411,,,,,,
2024,236,241,246,1506,237,1472,,,,,668,69,,
2023,204,299,276,1467,263,1429,230,1459,218,1393,,,,
2022,184,307,231,1513,206,1484,222,1475,224,1392,,,,
2021,270,214,249,1483,212,1467,272,1400,,,,,,
2020,244,223,,,,,,,,,628,58,,
2019,235,205,279,1454,268,1425,249,1436,,,602,58,,
2018,365,53,357,1322,348,1290,323,1308,,,371,80,,
2017,530,61,,,,,,,,,1008,28,,
2016,910,15,,,,,,,,,1049,25,,
2015,1582,2,,,,,,,,,1091,25,,
2014,,,,,,,,,,,1053,25,,
