Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Miami R64,L vs Alcaraz,30% (3/10),0% (0/3),0/2,30% (3/10),33% (1/3),0/0,0/0,2/2,0/0,1/1
2026 Indian Wells R16,L vs Sinner,17% (2/12),50% (1/2),0/1,25% (3/12),67% (2/3),1/1,0/0,3/3,0/0,3/3
2026 Indian Wells R32,W vs Paul,75% (6/8),67% (4/6),0/1,11% (1/9),0% (0/1),3/3,1/1,0/0,1/1,0/0
2025 Basel F,W vs Davidovich Fokina,89% (8/9),38% (3/8),1/1,20% (2/10),50% (1/2),3/3,2/2,0/0,1/1,0/0
2025 Basel SF,W vs Munar,17% (2/12),100% (2/2),0/1,8% (1/12),0% (0/1),1/1,0/0,2/2,0/0,0/0
2025 Basel R32,W vs Mpetshi Perricard,10% (1/10),100% (1/1),0/0,0% (0/11),- (0/0),1/1,1/1,2/2,1/1,0/0
2025 Brussels R32,L vs Van De Zandschulp,33% (4/12),50% (2/4),0/2,25% (3/12),0% (0/3),2/2,0/1,2/3,0/0,1/1
2025 US Open R64,L vs Machac,20% (3/15),0% (0/3),0/2,29% (4/14),25% (1/4),0/0,0/0,1/2,0/0,1/1
2025 Wimbledon R64,W vs Brooksby,50% (10/20),60% (6/10),1/2,35% (7/20),57% (4/7),5/6,3/3,1/2,1/1,0/0
2025 Eastbourne R16,L vs Fritz,12% (2/17),50% (1/2),0/2,31% (5/16),40% (2/5),1/1,0/0,3/4,0/0,2/3
2025 Eastbourne R32,W vs Bergs,54% (7/13),71% (5/7),1/1,21% (3/14),67% (2/3),4/4,1/1,2/2,1/1,0/0
2025 Roland Garros R32,L vs Draper,8% (1/13),0% (0/1),0/5,46% (6/13),17% (1/6),0/0,0/0,2/2,0/0,1/1
2025 Roland Garros R128,W vs Hurkacz,54% (7/13),71% (5/7),0/0,8% (1/13),100% (1/1),5/5,3/3,0/0,1/1,0/0
2025 Rome R128,L vs Marozsan,18% (2/11),50% (1/2),0/2,30% (3/10),33% (1/3),1/1,0/0,1/1,0/0,0/0
2025 Madrid R64,L vs Paul,33% (4/12),25% (1/4),0/1,8% (1/12),0% (0/1),1/1,0/0,2/2,0/0,0/0
2025 Madrid R128,W vs Moller,56% (5/9),80% (4/5),0/0,0% (0/8),- (0/0),3/3,1/1,0/0,0/0,0/0
2025 Miami R32,L vs De Minaur,29% (5/17),60% (3/5),0/3,25% (4/16),0% (0/4),3/3,1/1,3/4,0/0,1/1
2025 Miami R64,W vs Humbert,30% (3/10),100% (3/3),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2025 Miami R128,W vs Tien,40% (6/15),50% (3/6),0/1,13% (2/16),50% (1/2),3/3,2/2,2/2,1/1,0/0
2025 Phoenix CH F,W vs Bublik,50% (6/12),33% (2/6),1/1,25% (3/12),33% (1/3),1/2,0/2,0/0,0/0,0/0
2026 (3 matches),,36.7%,45.5%,0.0%,22.6%,42.9%,100.0%,100.0%,100.0%,100.0%,100.0%
2025 (28 matches),,35.2%,57.0%,20.0%,25.7%,35.5%,87.9%,81.3%,81.4%,76.9%,88.9%
2024 (13 matches),,31.6%,78.6%,16.7%,29.3%,28.2%,73.3%,90.9%,66.7%,100.0%,62.5%
Career (44 matches),,34.3%,61.3%,17.9%,26.4%,33.8%,84.0%,84.1%,80.0%,84.2%,81.0%
