Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Miami R64,L vs Alcaraz,28.4%,41.8%,45.7%,34.5%,31.0%,47.6%,51.7%,40.7%,50.0%,50.0%,100.0%,26.1%,34.8%,35.3%,42
2026 Indian Wells R16,L vs Sinner,32.1%,43.2%,57.7%,40.9%,40.4%,52.6%,55.9%,52.8%,30.4%,52.9%,0.0%,14.3%,23.8%,61.1%,19
2026 Indian Wells R32,W vs Paul,34.0%,40.0%,54.5%,37.2%,39.4%,45.5%,55.0%,44.2%,57.1%,47.4%,0.0%,23.5%,29.4%,53.8%,-79
2026 Buenos Aires R16,L vs Tabilo,18.6%,33.3%,51.9%,26.6%,24.1%,39.7%,52.3%,38.1%,54.8%,63.0%,50.0%,12.5%,27.5%,51.4%,-79
2025 Basel F,W vs Davidovich Fokina,29.5%,37.7%,57.1%,40.5%,38.3%,48.9%,62.1%,52.6%,45.8%,34.8%,66.7%,0.0%,0.0%,46.2%,-118
2025 Basel SF,W vs Munar,28.0%,46.7%,64.2%,37.7%,37.5%,60.4%,76.7%,52.7%,40.0%,42.9%,0.0%,11.5%,23.1%,47.8%,-23
2025 Basel R32,W vs Mpetshi Perricard,35.3%,50.0%,65.1%,45.7%,37.0%,52.2%,69.0%,52.4%,33.3%,52.0%,-,33.3%,47.6%,57.1%,-10
2025 Brussels R32,L vs Van De Zandschulp,24.0%,33.3%,45.7%,29.5%,28.6%,41.1%,52.5%,38.0%,22.2%,24.1%,100.0%,18.9%,24.3%,36.7%,34
2025 US Open R64,L vs Machac,30.4%,41.8%,59.2%,37.2%,36.0%,48.0%,59.4%,46.8%,17.4%,55.6%,50.0%,26.1%,39.1%,58.8%,126
2025 Cincinnati R64,W vs Davidovich Fokina,30.8%,41.5%,45.2%,37.2%,35.7%,50.0%,48.1%,45.7%,43.5%,31.6%,0.0%,25.0%,30.0%,40.0%,118
2025 Wimbledon R64,W vs Brooksby,28.9%,46.1%,50.6%,39.0%,34.1%,58.0%,51.7%,48.8%,47.5%,41.7%,60.0%,19.4%,22.2%,48.3%,72
2025 Eastbourne R16,L vs Fritz,32.2%,48.9%,55.0%,41.3%,38.1%,60.3%,64.1%,51.1%,44.0%,44.7%,50.0%,19.2%,23.1%,38.1%,-23
2025 Eastbourne R32,W vs Bergs,33.3%,43.3%,58.6%,38.7%,36.6%,45.1%,53.3%,43.4%,45.5%,26.3%,0.0%,23.5%,41.2%,76.9%,80
2025 Roland Garros R32,L vs Draper,17.9%,32.1%,44.9%,27.3%,25.4%,44.1%,50.0%,38.8%,39.3%,35.5%,0.0%,0.0%,4.0%,36.0%,-118
2025 Roland Garros R128,W vs Hurkacz,31.0%,45.1%,65.3%,42.8%,35.3%,47.1%,66.7%,51.8%,44.4%,36.4%,0.0%,20.0%,40.0%,62.5%,-79
2025 Rome R128,L vs Marozsan,22.1%,42.6%,53.1%,27.4%,28.9%,44.7%,44.4%,38.4%,50.0%,60.0%,0.0%,15.4%,46.2%,63.6%,29
2025 Madrid R64,L vs Paul,28.1%,41.6%,54.8%,38.3%,30.3%,47.0%,60.9%,44.1%,50.0%,55.3%,100.0%,23.8%,28.6%,37.5%,53
2025 Madrid R128,W vs Moller,41.5%,50.9%,43.3%,47.5%,48.6%,59.5%,47.4%,57.3%,26.7%,54.5%,-,26.7%,33.3%,36.4%,16
2025 Miami R32,L vs De Minaur,20.7%,32.6%,51.4%,31.0%,27.9%,39.3%,56.8%,43.4%,48.3%,53.1%,50.0%,6.7%,20.0%,42.9%,-47
2025 Miami R64,W vs Humbert,42.5%,60.0%,82.6%,53.3%,50.0%,69.2%,92.3%,66.5%,38.5%,46.2%,-,28.6%,42.9%,70.0%,-79
Career (50 matches),,29.1%,42.5%,53.4%,37.1%,35.5%,50.7%,56.3%,47.6%,43.1%,49.5%,42.2%,18.3%,28.8%,48.5%,29
