Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,27,18,9,66.7%,35-28,55.6%,333-316,51.3%,6-7,46.2%,24,83.4%,19.9%,9.2%,2.7%,66.5%,73.2%,53.8%,66.7%,35.4%,50.8%,1.06
Clay,9,4,5,44.4%,12-11,52.2%,120-114,51.3%,3-3,50.0%,9,84.1%,19.1%,6.8%,2.6%,65.8%,71.9%,52.4%,65.2%,35.9%,50.3%,1.03
Grass,6,3,3,50.0%,11-9,55.0%,113-98,53.6%,2-4,33.3%,6,91.3%,16.7%,7.1%,2.2%,70.8%,74.3%,55.3%,68.8%,36.3%,51.7%,1.16
Grand Slams,9,5,4,55.6%,17-13,56.7%,151-146,50.8%,5-2,71.4%,9,83.3%,17.8%,9.4%,3.0%,67.0%,72.7%,52.2%,65.9%,35.3%,50.1%,1.04
Masters,18,10,8,55.6%,20-22,47.6%,222-214,50.9%,2-8,20.0%,18,85.0%,19.5%,8.5%,2.8%,67.4%,72.9%,53.3%,66.5%,35.2%,50.6%,1.05
Other Tours,13,8,5,61.5%,17-12,58.6%,164-145,53.1%,4-4,50.0%,12,87.0%,19.7%,6.6%,1.8%,67.2%,74.1%,55.8%,68.1%,36.7%,52.1%,1.15
Best of 5,9,5,4,55.6%,17-13,56.7%,151-146,50.8%,5-2,71.4%,9,83.3%,17.8%,9.4%,3.0%,67.0%,72.7%,52.2%,65.9%,35.3%,50.1%,1.04
Best of 3,33,20,13,60.6%,41-35,53.9%,415-382,52.1%,6-12,33.3%,30,85.9%,19.6%,7.7%,2.4%,67.3%,73.4%,54.4%,67.2%,35.8%,51.2%,1.09
Finals,1,1,0,100.0%,2-0,100.0%,12-7,63.2%,0-0,-,1,90.0%,33.3%,11.5%,1.6%,78.7%,75.0%,46.2%,68.9%,46.4%,56.9%,1.49
Semi-finals,1,1,0,100.0%,2-0,100.0%,14-11,56.0%,1-0,100.0%,1,91.7%,16.7%,10.7%,1.3%,64.0%,85.4%,51.9%,73.3%,35.0%,53.5%,1.31
Quarter-finals,1,1,0,100.0%,1-1,50.0%,9-9,50.0%,0-0,-,1,72.7%,41.7%,3.2%,4.8%,61.9%,64.1%,50.0%,58.7%,46.5%,52.2%,1.13
vs Righties,34,20,14,58.8%,48-38,55.8%,468-431,52.1%,10-13,43.5%,31,86.0%,18.6%,8.7%,2.8%,67.4%,73.7%,53.7%,67.1%,35.6%,50.9%,1.08
vs Lefties,8,5,3,62.5%,10-10,50.0%,98-97,50.3%,1-1,50.0%,8,81.6%,21.0%,6.3%,1.5%,66.6%,71.1%,54.2%,65.5%,35.9%,50.9%,1.04
vs Top 10,4,0,4,0.0%,1-9,10.0%,43-63,40.6%,1-2,33.3%,4,78.4%,3.8%,8.4%,1.9%,68.3%,70.5%,48.0%,63.4%,27.6%,45.7%,0.75
