Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,16,11,5,68.8%,22-14,61.1%,177-140,55.8%,0-1,0.0%,16,70.1%,44.6%,1.3%,4.9%,73.5%,60.6%,45.9%,56.7%,47.2%,52.0%,1.09,F (W15 Alaminos)
2024,29,15,14,51.7%,34-31,52.3%,294-286,50.7%,3-3,50.0%,0,,,,,,,,,,,,F (W35 Nakhon Si Thammarat)
2023,18,8,10,44.4%,16-23,41.0%,158-189,45.5%,2-3,40.0%,5,53.1%,31.4%,0.8%,4.4%,69.2%,53.5%,46.0%,51.2%,44.8%,48.1%,0.92,SF (W25 Tainan)
2022,3,2,1,66.7%,5-3,62.5%,37-37,50.0%,1-0,100.0%,0,,,,,,,,,,,,QF (W25 Sharm ElSheikh)
2021,32,18,14,56.3%,32-30,51.6%,287-283,50.4%,3-2,60.0%,0,,,,,,,,,,,,W (W25 Daytona Beach FL)
2020,11,6,5,54.5%,11-9,55.0%,98-82,54.4%,1-2,33.3%,1,55.6%,11.1%,1.9%,7.5%,71.7%,55.3%,46.7%,52.8%,25.6%,40.6%,0.54,W (W25 Nonthaburi)
2019,43,26,17,60.5%,56-39,58.9%,462-377,55.1%,6-2,75.0%,0,,,,,,,,,,,,F (2x)
2018,53,33,20,62.3%,71-43,62.3%,558-435,56.2%,5-4,55.6%,0,,,,,,,,,,,,W (Cairo $15K)
2017,45,28,17,62.2%,61-37,62.2%,484-364,57.1%,1-5,16.7%,0,,,,,,,,,,,,F (2x)
2016,46,29,17,63.0%,63-36,63.6%,479-368,56.6%,3-3,50.0%,0,,,,,,,,,,,,F (Galati $10K)
2015,42,25,17,59.5%,53-39,57.6%,419-363,53.6%,0-0,-,0,,,,,,,,,,,,F (Targu Jiu $10K)
2014,36,15,21,41.7%,37-43,46.3%,359-365,49.6%,2-7,22.2%,0,,,,,,,,,,,,SF (Casablanca 10K)
2013,8,2,6,25.0%,5-12,29.4%,63-85,42.6%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
Career,382,218,164,57.1%,466-359,56.5%,3875-3374,53.5%,27-33,45.0%,22,65.3%,39.9%,1.2%,4.8%,72.3%,58.6%,46.0%,55.1%,45.9%,50.6%,1.02,
