Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Indian Wells R16,L vs Rybakina,3.0,3.3,2.7,44.9%,51.9%,50.0%,0.0%,58.2%,20.3%,-3.0,-3.9,7.5,14.7
2026 Australian Open R128,L vs Jacquemot,3.5,3.1,3.8,50.0%,44.9%,53.1%,61.5%,52.9%,10.1%,7.5,4.0,-2.0,-1.2
2026 Brisbane F,L vs Sabalenka,2.9,2.9,2.8,40.5%,43.5%,71.4%,0.0%,53.8%,11.1%,0.5,1.0,-0.5,-1.1
2026 Brisbane SF,W vs Pegula,3.8,3.6,3.9,66.7%,73.9%,60.0%,50.0%,63.1%,6.7%,8.5,12.3,5.5,13.1
2026 Brisbane QF,W vs Andreeva,3.5,3.8,3.3,55.1%,48.0%,63.6%,66.7%,60.3%,15.7%,6.0,5.2,5.0,6.9
2026 Brisbane R16,W vs Anisimova,2.9,2.6,3.1,57.6%,54.2%,25.0%,75.0%,52.7%,12.9%,16.5,36.7,8.5,15.7
2025 Wuhan R64,L vs Muchova,3.7,3.4,4.0,43.5%,55.1%,58.3%,50.0%,64.2%,10.2%,8.0,5.4,-9.0,-11.3
2025 BJK Cup Finals QF,W vs Bouzas Maneiro,4.6,4.1,5.0,52.9%,56.8%,60.0%,62.5%,68.6%,20.7%,23.0,13.0,2.5,3.6
2025 US Open R16,L vs Muchova,4.0,3.9,4.0,47.0%,62.0%,37.0%,50.0%,60.6%,12.8%,7.5,4.0,1.0,0.8
2025 US Open R32,W vs Parry,3.8,3.4,4.2,56.3%,63.3%,9.5%,60.0%,54.5%,15.2%,13.0,9.6,-2.0,-1.7
2025 US Open R64,W vs Sonmez,3.6,3.5,3.7,53.1%,50.0%,62.5%,27.3%,56.5%,13.3%,-6.0,-3.6,-4.5,-3.8
2025 Madrid R16,W vs Potapova,4.3,4.4,4.2,59.7%,50.0%,57.1%,57.1%,65.1%,28.4%,13.5,11.8,8.5,16.0
2025 Indian Wells R16,L vs Zheng,3.7,3.2,4.2,49.3%,23.1%,40.0%,50.0%,47.9%,16.3%,0.5,0.8,7.5,10.4
2025 Indian Wells R32,W vs Dolehide,3.7,3.5,3.9,52.7%,60.6%,60.0%,44.4%,52.7%,15.4%,13.5,14.2,9.0,10.6
2025 Indian Wells R64,W vs Montgomery,4.3,4.5,4.2,57.7%,66.7%,75.0%,72.7%,52.0%,3.6%,13.0,14.9,-1.5,-1.9
2025 Dubai R32,L vs Kenin,3.7,3.7,3.7,47.8%,50.7%,58.3%,50.0%,57.6%,13.4%,7.0,3.8,-1.5,-1.1
2025 Doha QF,L vs Anisimova,3.9,3.3,4.4,50.0%,45.5%,50.0%,53.8%,48.2%,18.4%,5.0,3.6,-2.5,-1.7
2025 Doha R16,W vs Linette,4.0,3.8,4.3,52.5%,60.6%,52.9%,63.6%,52.7%,13.9%,10.0,8.7,6.0,6.3
2025 Doha R32,W vs Gauff,3.2,3.7,2.8,58.0%,50.0%,66.7%,80.0%,64.4%,11.5%,9.5,11.3,2.0,4.4
2025 Doha R64,W vs Sonmez,3.7,3.5,3.9,59.2%,52.0%,41.2%,80.0%,52.8%,19.3%,8.0,7.4,7.5,9.0
Last 52 Weeks (12 matches),,3.6,3.5,3.8,51.3%,54.1%,48.7%,53.0%,59.2%,14.4%,7.9,6.5,1.7,2.1
Career (77 matches),,3.9,3.8,4.1,50.4%,50.5%,48.9%,53.6%,54.4%,11.2%,5.8,5.1,2.1,2.2
