Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Indian Wells R16,L vs Rybakina,24.2%,37.1%,41.5%,33.3%,47.2%,41.7%,11.8%,26.3%,0.0%,15.0%,30.0%,41.2%,40.0%,0.0%,0.0%,14
2026 Australian Open R128,L vs Jacquemot,27.6%,45.5%,51.1%,33.3%,57.7%,59.6%,48.6%,46.3%,100.0%,21.6%,31.4%,40.0%,55.6%,18.2%,20.0%,4
2026 Brisbane F,L vs Sabalenka,25.9%,32.8%,45.0%,29.4%,35.3%,37.5%,42.9%,30.0%,20.0%,23.8%,33.3%,56.3%,50.0%,81.8%,100.0%,47
2026 Brisbane SF,W vs Pegula,37.8%,48.9%,66.7%,35.7%,50.0%,66.7%,61.5%,60.0%,50.0%,43.8%,50.0%,66.7%,71.4%,33.3%,-,-33
2026 Brisbane QF,W vs Andreeva,18.9%,36.5%,56.9%,16.3%,36.7%,61.0%,50.0%,60.9%,33.3%,26.1%,39.1%,47.1%,75.0%,13.3%,0.0%,-7
2026 Brisbane R16,W vs Anisimova,40.0%,50.0%,46.9%,43.9%,58.5%,56.5%,59.1%,57.9%,100.0%,40.0%,40.0%,22.2%,80.0%,20.0%,50.0%,150
2025 Wuhan R64,L vs Muchova,22.3%,28.7%,50.8%,25.4%,33.9%,43.2%,34.4%,55.6%,50.0%,24.0%,28.0%,68.4%,75.0%,5.9%,0.0%,79
2025 BJK Cup Finals QF,W vs Bouzas Maneiro,26.7%,38.3%,51.2%,33.3%,50.0%,67.9%,75.0%,77.3%,100.0%,11.8%,11.8%,20.0%,100.0%,8.3%,0.0%,-37
2025 US Open R16,L vs Muchova,21.0%,35.8%,64.9%,26.2%,42.9%,74.2%,45.0%,31.8%,0.0%,18.8%,34.4%,53.8%,53.8%,10.5%,0.0%,58
2025 US Open R32,W vs Parry,27.6%,42.5%,54.4%,33.3%,45.8%,59.4%,17.4%,52.0%,60.0%,24.2%,45.5%,48.0%,62.5%,29.4%,-,82
2025 US Open R64,W vs Sonmez,28.2%,32.7%,53.0%,31.1%,37.7%,64.3%,46.2%,54.3%,80.0%,33.3%,36.1%,33.3%,38.9%,0.0%,0.0%,163
2025 Madrid R16,W vs Potapova,12.7%,34.5%,64.4%,13.5%,40.5%,65.6%,41.2%,35.0%,50.0%,13.3%,26.7%,61.5%,28.6%,12.5%,-,9
2025 Indian Wells R16,L vs Zheng,19.6%,26.8%,39.5%,25.0%,39.3%,42.9%,35.7%,78.6%,100.0%,19.0%,19.0%,35.3%,50.0%,13.3%,0.0%,46
2025 Indian Wells R32,W vs Dolehide,22.5%,35.2%,57.1%,26.1%,43.5%,61.8%,19.0%,48.0%,40.0%,21.1%,26.3%,46.7%,40.0%,0.0%,0.0%,65
2025 Indian Wells R64,W vs Montgomery,23.9%,34.8%,60.0%,31.0%,41.4%,60.0%,0.0%,68.8%,0.0%,11.8%,23.5%,60.0%,71.4%,0.0%,0.0%,-104
2025 Dubai R32,L vs Kenin,22.9%,34.7%,58.0%,29.9%,44.8%,63.8%,23.3%,45.9%,25.0%,17.1%,26.8%,50.0%,73.3%,15.4%,0.0%,39
2025 Doha QF,L vs Anisimova,28.8%,35.6%,39.4%,32.9%,41.4%,38.3%,43.2%,54.5%,71.4%,26.9%,30.8%,42.1%,50.0%,5.6%,0.0%,118
2025 Doha R16,W vs Linette,22.5%,32.4%,49.0%,34.1%,48.8%,55.6%,54.5%,78.9%,100.0%,8.3%,12.5%,40.9%,63.6%,7.7%,0.0%,-42
2025 Doha R32,W vs Gauff,27.3%,34.5%,55.3%,29.3%,39.0%,51.7%,47.4%,36.4%,100.0%,25.0%,25.0%,66.7%,33.3%,33.3%,0.0%,68
2025 Doha R64,W vs Sonmez,25.0%,35.3%,50.0%,26.8%,39.0%,46.7%,76.2%,60.0%,66.7%,25.0%,33.3%,55.6%,30.0%,14.3%,0.0%,30
Last 52 Weeks (12 matches),,25.9%,38.4%,53.8%,29.5%,44.9%,58.3%,44.2%,49.3%,58.1%,24.3%,34.2%,46.1%,56.8%,17.9%,13.0%,98
Career (77 matches),,22.8%,31.9%,49.6%,27.7%,39.8%,53.0%,41.8%,41.2%,42.5%,19.2%,24.8%,44.0%,48.9%,18.3%,14.7%,60
