Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Indian Wells R32,L vs Rybakina,40% (4/10),75% (3/4),1/3,60% (6/10),17% (1/6),1/3,0/0,0/2,0/0,0/1
2026 Brisbane F,L vs Sabalenka,20% (2/10),50% (1/2),0/2,44% (4/9),25% (1/4),1/1,0/0,1/2,0/0,1/1
2026 Brisbane SF,W vs Pegula,57% (4/7),100% (4/4),0/0,25% (2/8),100% (2/2),3/3,1/1,0/0,1/1,0/0
2026 Brisbane QF,W vs Andreeva,55% (6/11),67% (4/6),1/2,50% (5/10),60% (3/5),2/3,0/1,0/0,0/0,0/0
2026 Brisbane R16,W vs Anisimova,60% (6/10),67% (4/6),1/1,44% (4/9),75% (3/4),3/3,1/1,0/0,0/0,0/0
2025 Wuhan R64,L vs Muchova,31% (4/13),75% (3/4),1/4,54% (7/13),43% (3/7),2/2,0/0,2/2,0/0,1/1
2025 BJK Cup Finals RR,W vs Bouzas Maneiro,60% (6/10),83% (5/6),2/3,40% (4/10),25% (1/4),3/4,0/0,2/2,0/0,0/0
2025 US Open R16,L vs Muchova,38% (6/16),17% (1/6),0/3,36% (5/14),40% (2/5),0/1,0/0,2/2,0/0,1/1
2025 US Open R32,W vs Parry,64% (9/14),56% (5/9),1/3,31% (4/13),25% (1/4),2/3,0/0,1/1,0/0,0/0
2025 US Open R64,W vs Sonmez,53% (9/17),78% (7/9),1/4,50% (8/16),50% (4/8),5/5,0/0,0/0,0/0,0/0
2025 Madrid R16,W vs Potapova,56% (5/9),100% (5/5),0/1,25% (2/8),50% (1/2),2/3,0/0,0/0,0/0,0/0
2025 Indian Wells R16,L vs Zheng,33% (3/9),67% (2/3),2/5,75% (6/8),17% (1/6),0/2,0/0,0/0,0/0,0/0
2025 Indian Wells R32,W vs Dolehide,89% (8/9),50% (4/8),1/1,33% (3/9),67% (2/3),2/3,1/1,0/0,0/0,0/0
2025 Indian Wells R64,W vs Montgomery,63% (5/8),100% (5/5),0/1,25% (2/8),50% (1/2),3/4,1/1,0/0,0/0,0/0
2025 Dubai R32,L vs Kenin,28% (5/18),80% (4/5),1/3,33% (6/18),50% (3/6),2/3,0/0,2/2,0/0,2/2
2025 Doha QF,L vs Anisimova,56% (9/16),67% (6/9),3/7,63% (10/16),30% (3/10),3/5,0/0,2/2,0/0,1/1
2025 Doha R16,W vs Linette,78% (7/9),86% (6/7),3/3,33% (3/9),0% (0/3),4/4,0/0,0/0,0/0,0/0
2025 Doha R32,W vs Gauff,60% (6/10),83% (5/6),1/2,30% (3/10),33% (1/3),2/3,0/0,0/0,0/0,0/0
2025 Doha R64,W vs Sonmez,78% (7/9),71% (5/7),2/2,56% (5/9),60% (3/5),3/4,1/2,0/0,0/1,0/0
2025 Australian Open R32,L vs Badosa,47% (7/15),57% (4/7),0/4,57% (8/14),38% (3/8),3/4,1/3,1/2,0/0,1/1
2026 (5 matches),,45.8%,72.7%,37.5%,45.7%,47.6%,76.9%,66.7%,25.0%,100.0%,50.0%
2025 (16 matches),,52.1%,71.3%,37.5%,43.1%,38.3%,72.2%,62.5%,86.7%,50.0%,100.0%
2024 (23 matches),,50.0%,81.0%,38.8%,49.6%,27.8%,65.1%,57.1%,76.2%,63.6%,66.7%
2023 (13 matches),,45.1%,70.3%,25.0%,51.4%,23.3%,63.4%,66.7%,69.2%,100.0%,85.7%
2022 (10 matches),,47.3%,67.9%,28.2%,46.9%,17.0%,50.0%,66.7%,66.7%,100.0%,71.4%
Career (124 matches),,49.1%,76.4%,35.1%,47.5%,26.4%,66.3%,66.7%,60.4%,78.6%,62.3%
