Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,84,27,57,32.1%,67-113,37.2%,729-892,45.0%,9-16,36.0%,3,-,-,3.9%,5.4%,65.1%,59.5%,41.1%,53.1%,38.2%,46.3%,0.82
Clay,35,14,21,40.0%,35-42,45.5%,326-344,48.7%,2-4,33.3%,0,,,,,,,,,,,
Grass,16,5,11,31.3%,14-22,38.9%,154-176,46.7%,0-4,0.0%,2,-,-,3.7%,1.2%,71.0%,58.3%,42.6%,53.7%,45.5%,49.7%,0.98
Carpet,11,4,7,36.4%,11-16,40.7%,113-139,44.8%,2-0,100.0%,0,,,,,,,,,,,
Grand Slams,26,8,18,30.8%,21-39,35.0%,233-301,43.6%,2-4,33.3%,5,-,-,3.8%,3.8%,67.4%,59.0%,41.6%,53.3%,41.2%,47.7%,0.88
Premiers,17,4,13,23.5%,13-27,32.5%,176-204,46.3%,1-4,20.0%,0,,,,,,,,,,,
Internationals,16,6,10,37.5%,17-22,43.6%,171-201,46.0%,4-3,57.1%,0,,,,,,,,,,,
Semi-finals,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,
Quarter-finals,3,1,2,33.3%,2-4,33.3%,23-29,44.2%,0-1,0.0%,0,,,,,,,,,,,
vs Righties,105,32,73,30.5%,86-146,37.1%,951-1163,45.0%,11-19,36.7%,3,-,-,5.6%,3.3%,70.6%,62.6%,38.0%,55.4%,41.7%,49.1%,0.93
vs Lefties,12,4,8,33.3%,11-16,40.7%,116-122,48.7%,0-1,0.0%,2,-,-,0.7%,4.6%,61.6%,51.6%,46.6%,49.7%,40.6%,45.2%,0.81
vs Top 10,10,1,9,10.0%,4-18,18.2%,65-121,34.9%,0-1,0.0%,0,,,,,,,,,,,
