Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2015,1121,6,,,,,,,,,1260,5,,
2010,787,20,,,,,,,,,681,39,,
2009,868,13,,,,,,,,,,,,
2008,655,20,,,,,,,,,,,,
2007,697,15,,,,,,,,,,,,
2006,646,17,,,,,,,,,,,,
2005,278,108,204,1516,190,1479,202,1445,121,1504,,,,
2004,191,170,170,1563,168,1516,181,1486,98,1547,,,,
2003,115,305,124,1627,118,1577,132,1542,75,1588,,,,
2002,99,373,121,1634,121,1580,119,1579,85,1569,,,,
2001,161,188,109,1681,101,1623,110,1600,62,1612,,,,
2000,147,197,82,1742,72,1692,104,1625,72,1599,,,,
1999,57,547,88,1740,73,1690,118,1597,65,1619,,,,
1998,130,211,157,1580,140,1534,172,1474,103,1540,,,,
1997,159,126,158,1593,145,1547,,,114,1525,,,,
1996,173,122,177,1608,152,1571,191,1485,108,1533,,,,
1995,165,9,245,1584,222,1533,272,1497,,,,,,
1994,170,8,192,1619,183,1570,,,,,,,,
1993,171,8,178,1645,155,1602,213,1541,,,,,,
1992,188,5,194,1612,150,1589,242,1503,,,,,,
1991,198,5,235,1572,202,1526,227,1517,,,,,,
1990,209,3,209,1575,186,1532,277,1445,,,,,,
1989,163,5,182,1579,138,1564,274,1427,142,1449,,,,
1988,275,1,358,1370,303,1364,370,1270,,,,,,
1987,270,,247,1439,206,1418,,,,,,,,
