Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),613,59,244,1521,226,1486,185,1523,,,,,,
2025,424,111,234,1529,225,1490,182,1527,,,,,,
2024,314,160,192,1565,189,1513,162,1557,,,748,55,,
2023,238,263,162,1594,145,1561,153,1547,128,1533,,,,
2022,168,339,103,1693,90,1658,120,1605,91,1585,,,,
2021,104,739,89,1710,81,1664,104,1639,114,1552,,,,
2020,69,889,76,1729,61,1701,90,1636,,,310,180,,
2019,66,836,77,1741,73,1706,97,1631,116,1564,294,180,,
2018,116,507,100,1687,93,1653,108,1607,120,1529,,,,
2017,136,407,131,1638,119,1614,127,1584,143,1500,819,45,,
2016,92,630,102,1689,85,1674,121,1590,132,1520,383,160,,
2015,85,641,106,1687,81,1671,134,1570,108,1570,146,510,96,1579
2014,86,605,86,1718,82,1679,96,1639,91,1580,769,50,,
2013,131,433,115,1655,101,1622,162,1535,104,1571,342,182,,
2012,113,501,97,1699,88,1652,161,1535,72,1635,680,60,,
2011,125,460,74,1736,74,1687,,,,,287,217,,
2010,87,587,70,1754,62,1720,138,1568,32,1729,1138,15,,
2009,320,131,227,1515,183,1504,258,1418,,,1595,3,,
2008,455,62,250,1487,264,1411,232,1454,,,768,39,,
2007,707,23,,,,,,,,,,,,
2006,1541,1,,,,,,,,,,,,
