Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,217,115,102,53.0%,294-271,52.0%,2771-2729,50.4%,54-43,55.7%,195,77.1%,21.5%,5.5%,4.3%,56.4%,71.1%,50.6%,62.2%,36.8%,49.6%,0.97
Clay,43,12,31,27.9%,37-76,32.7%,474-611,43.7%,7-8,46.7%,38,70.8%,15.8%,3.3%,3.4%,58.9%,66.4%,49.9%,59.6%,34.7%,47.1%,0.86
Grass,26,7,19,26.9%,28-51,35.4%,383-427,47.3%,5-12,29.4%,26,82.7%,13.5%,5.9%,4.1%,61.3%,71.1%,55.5%,65.1%,33.4%,49.1%,0.96
Carpet,1,1,0,100.0%,3-1,75.0%,24-18,57.1%,0-1,0.0%,0,,,,,,,,,,,
Grand Slams,57,21,36,36.8%,78-122,39.0%,880-1039,45.9%,14-15,48.3%,57,74.6%,17.4%,5.2%,4.2%,58.1%,68.5%,51.0%,61.2%,35.1%,48.2%,0.90
Masters,14,3,11,21.4%,10-23,30.3%,149-183,44.9%,1-6,14.3%,14,72.0%,19.3%,3.7%,5.4%,57.8%,67.8%,46.3%,58.7%,34.2%,47.2%,0.83
Other Tours,179,80,99,44.7%,192-225,46.0%,2000-2113,48.6%,41-37,52.6%,178,77.4%,20.0%,5.4%,4.1%,56.7%,71.2%,51.1%,62.5%,36.2%,49.4%,0.97
Best of 5,80,40,40,50.0%,135-143,48.6%,1307-1351,49.2%,19-17,52.8%,59,75.1%,18.4%,5.3%,4.1%,58.3%,68.7%,51.4%,61.5%,35.5%,48.6%,0.92
Best of 3,208,96,112,46.2%,229-256,47.2%,2357-2436,49.2%,47-47,50.0%,200,77.6%,20.3%,5.3%,4.2%,57.0%,71.2%,50.9%,62.5%,36.3%,49.5%,0.97
Finals,2,0,2,0.0%,1-4,20.0%,14-25,35.9%,0-0,-,2,57.9%,15.0%,3.8%,1.9%,50.0%,67.3%,44.2%,55.8%,40.1%,46.2%,0.91
Semi-finals,5,2,3,40.0%,6-7,46.2%,67-63,51.5%,1-2,33.3%,5,77.4%,27.7%,5.1%,5.6%,62.8%,73.8%,45.6%,63.3%,38.4%,50.6%,1.05
Quarter-finals,23,5,18,21.7%,16-37,30.2%,233-289,44.6%,4-7,36.4%,23,76.3%,14.0%,5.5%,4.5%,55.4%,71.3%,50.9%,62.2%,32.7%,47.6%,0.86
vs Righties,233,110,123,47.2%,294-322,47.7%,2929-3032,49.1%,45-52,46.4%,209,76.5%,20.5%,5.3%,4.0%,57.4%,70.2%,51.1%,62.1%,36.3%,49.3%,0.96
vs Lefties,49,21,28,42.9%,58-74,43.9%,649-709,47.8%,21-11,65.6%,49,78.3%,16.2%,5.1%,4.9%,57.2%,71.4%,50.8%,62.6%,34.8%,48.8%,0.93
vs Top 10,21,2,19,9.5%,10-50,16.7%,208-343,37.7%,1-3,25.0%,21,64.1%,11.8%,3.9%,4.1%,58.5%,63.8%,45.7%,56.3%,31.9%,44.3%,0.73
