Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2022 Wimbledon R64,L vs Nadal,35,35,1.0,14.2%,14.2%,32,32,1.0,14.3%,14.3%,9.0%,4.9%,0.9,14.2%,15.9%
2022 Wimbledon R128,W vs Querrey,36,11,3.3,20.8%,6.4%,34,8,4.3,24.1%,5.7%,12.8%,10.6%,2.2,25.4%,11.6%
2022 Melbourne R16,L vs Nadal,19,29,0.7,15.7%,24.0%,16,26,0.6,14.7%,23.9%,9.2%,5.5%,1.3,14.0%,10.7%
2021 US Open R128,L vs Schwartzman,27,51,0.5,14.1%,26.6%,20,49,0.4,11.5%,28.2%,6.9%,4.6%,0.7,12.0%,16.1%
2021 Wimbledon R128,L vs Harris,45,35,1.3,18.7%,14.5%,43,30,1.4,20.9%,14.6%,13.6%,6.8%,1.9,21.6%,11.6%
2021 Halle R32,L vs Nishikori,24,25,1.0,16.9%,17.6%,20,24,0.8,15.5%,18.6%,7.0%,6.2%,0.8,17.6%,21.8%
2021 Roland Garros R32,L vs Djokovic,19,33,0.6,13.4%,23.2%,19,33,0.6,14.6%,25.4%,,,1.7,17.6%,10.6%
2021 Roland Garros R64,W vs Duckworth,39,33,1.2,16.3%,13.8%,39,33,1.2,18.7%,15.8%,,,0.5,8.3%,17.1%
2021 Roland Garros R128,W vs Humbert,37,45,0.8,13.9%,16.9%,37,45,0.8,15.7%,19.1%,,,0.5,8.3%,15.8%
2021 Australian Open R64,L vs Khachanov,25,50,0.5,13.4%,26.9%,25,50,0.5,15.2%,30.5%,,,1.0,10.2%,10.2%
2021 Australian Open R128,W vs Nagal,32,47,0.7,15.7%,23.0%,32,47,0.7,16.6%,24.4%,,,0.4,8.3%,19.6%
2020 Roland Garros R64,L vs Djokovic,14,24,0.6,11.8%,20.2%,14,24,0.6,13.1%,22.4%,,,1.2,12.6%,10.9%
2020 Roland Garros R128,W vs Dellien,53,26,2.0,27.2%,13.3%,53,26,2.0,28.0%,13.8%,,,0.8,7.2%,8.7%
2020 US Open R32,L vs Carreno Busta,20,38,0.5,12.3%,23.3%,17,35,0.5,11.1%,22.9%,5.9%,5.2%,1.0,14.1%,13.5%
2020 US Open R64,W vs Johnson,47,34,1.4,19.6%,14.2%,34,31,1.1,16.9%,15.4%,7.5%,7.5%,0.9,16.3%,18.3%
2020 US Open R128,W vs Gaio,54,29,1.9,21.3%,11.4%,48,26,1.8,20.9%,11.3%,15.2%,3.5%,1.4,19.3%,13.8%
2020 Australian Open R64,L vs Querrey,31,36,0.9,12.5%,14.5%,31,36,0.9,15.3%,17.7%,,,1.1,13.3%,12.1%
2020 Australian Open R128,W vs Carballes Baena,37,22,1.7,23.3%,13.8%,37,22,1.7,24.8%,14.8%,,,0.8,7.5%,9.4%
2019 US Open R64,L vs Carreno Busta,32,48,0.7,12.9%,19.4%,27,40,0.7,12.1%,17.9%,8.1%,4.0%,1.0,15.7%,16.5%
2019 US Open R128,W vs Vesely,75,77,1.0,20.9%,21.5%,62,74,0.8,19.3%,23.1%,11.8%,7.2%,0.8,13.7%,17.0%
Career (53 matches),,1716,1866,0.9,16.7%,18.2%,1490,1714,0.9,16.4%,18.9%,6.3%,3.6%,1.0,14.4%,14.1%
