Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 Melbourne R16,L vs Nadal,21.9%,34.4%,40.4%,29.2%,28.2%,46.2%,39.3%,40.3%,40.0%,52.6%,66.7%,13.6%,18.2%,42.1%,14
2021 Halle R32,L vs Nishikori,24.6%,36.9%,52.1%,31.2%,28.9%,42.1%,48.1%,40.3%,5.9%,23.8%,100.0%,19.2%,30.8%,57.1%,-23
2019 Dubai QF,L vs Monfils,11.3%,24.7%,45.0%,18.4%,12.1%,29.3%,39.2%,23.8%,34.5%,34.5%,50.0%,12.1%,21.2%,55.2%,-5
2019 Dubai R16,W vs Kudla,17.6%,33.3%,61.9%,24.5%,20.0%,43.3%,62.5%,31.7%,40.0%,20.0%,0.0%,14.3%,19.0%,61.1%,-79
2019 Rennes CH F,W vs Hoang,27.1%,39.0%,55.0%,37.1%,35.3%,55.9%,59.1%,52.6%,69.2%,23.8%,0.0%,18.2%,18.2%,50.0%,58
2018 Moscow QF,L vs Medvedev,21.3%,36.2%,50.7%,32.0%,25.0%,48.2%,59.5%,43.0%,33.3%,20.7%,28.6%,17.1%,20.0%,37.9%,40
2018 Roland Garros R128,L vs Zverev,20.9%,28.4%,31.4%,24.6%,25.0%,36.4%,39.4%,30.7%,23.5%,66.7%,85.7%,14.3%,14.3%,16.7%,25
2017 Moscow F,L vs Dzumhur,26.6%,37.5%,55.3%,33.4%,37.1%,48.6%,63.6%,49.7%,15.4%,45.5%,100.0%,13.8%,24.1%,48.0%,-79
2016 Taipei CH SF,L vs Evans,20.9%,34.3%,48.1%,29.0%,26.8%,41.5%,50.0%,40.0%,37.5%,40.0%,-,12.0%,24.0%,45.5%,-21
2016 Memphis SF,L vs Fritz,37.3%,49.3%,39.5%,44.3%,49.0%,64.7%,50.0%,59.2%,47.8%,39.3%,25.0%,15.0%,20.0%,23.5%,19
2015 Washington R16,W vs Gabashvili,29.7%,40.5%,58.8%,33.9%,45.2%,57.1%,47.8%,52.6%,20.0%,31.8%,100.0%,9.7%,19.4%,67.9%,-32
2014 Moscow R16,W vs Raonic,27.7%,41.0%,54.4%,37.5%,27.1%,42.4%,60.5%,40.8%,14.8%,28.1%,50.0%,33.3%,42.9%,35.7%,110
2014 Australian Open R128,L vs Dolgopolov,33.3%,41.2%,37.0%,37.5%,44.6%,55.4%,45.2%,53.2%,28.0%,45.2%,33.3%,23.6%,29.1%,31.0%,-1
2013 US Open R128,L vs Djokovic,20.6%,25.0%,22.2%,22.9%,35.3%,41.2%,18.2%,40.0%,15.4%,47.6%,60.0%,8.0%,12.0%,26.1%,-42
Career (14 matches),,24.6%,36.0%,46.3%,31.3%,31.3%,46.5%,48.8%,42.7%,30.2%,37.4%,50.0%,16.3%,22.8%,43.0%,44
