Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,226,95,131,42.0%,235-291,44.7%,2351-2584,47.6%,36-32,52.9%,201,64.2%,29.8%,2.8%,3.9%,65.9%,60.3%,47.2%,55.9%,41.6%,48.8%,0.94
Clay,114,51,63,44.7%,126-146,46.3%,1226-1299,48.6%,17-15,53.1%,109,60.4%,32.6%,2.4%,3.7%,68.3%,59.7%,44.5%,54.9%,43.7%,49.3%,0.97
Grass,36,11,25,30.6%,28-55,33.7%,343-448,43.4%,6-6,50.0%,35,58.1%,21.2%,4.3%,4.3%,68.0%,61.8%,48.4%,57.5%,36.5%,47.0%,0.86
Carpet,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-0,-,1,-,-,1.4%,4.2%,66.2%,61.7%,45.8%,56.3%,40.0%,48.5%,0.92
Grand Slams,80,34,46,42.5%,86-105,45.0%,837-951,46.8%,14-9,60.9%,75,65.4%,26.4%,3.2%,4.1%,67.0%,61.3%,44.8%,55.8%,40.8%,48.3%,0.92
Premiers,122,45,77,36.9%,113-165,40.6%,1202-1392,46.3%,16-16,50.0%,114,58.6%,28.9%,2.8%,4.1%,66.6%,59.4%,47.3%,55.3%,40.9%,48.2%,0.92
Internationals,119,51,68,42.9%,126-152,45.3%,1282-1342,48.9%,23-21,52.3%,106,63.8%,30.7%,2.8%,3.5%,66.6%,60.5%,47.1%,56.0%,42.7%,49.4%,0.97
Finals,1,0,1,0.0%,1-2,33.3%,12-18,40.0%,1-0,100.0%,1,-,-,3.1%,6.3%,60.4%,63.8%,52.6%,59.4%,35.4%,47.4%,0.87
Semi-finals,6,1,5,16.7%,4-11,26.7%,70-83,45.8%,1-2,33.3%,6,52.4%,23.8%,2.0%,4.4%,68.4%,57.2%,46.6%,53.8%,40.4%,47.5%,0.87
Quarter-finals,19,6,13,31.6%,19-29,39.6%,239-249,49.0%,2-8,20.0%,18,61.1%,35.6%,2.9%,3.4%,64.8%,61.0%,45.4%,55.5%,43.0%,49.4%,0.97
vs Righties,342,150,192,43.9%,363-435,45.5%,3599-3897,48.0%,55-50,52.4%,313,62.7%,30.0%,2.9%,3.8%,66.8%,60.4%,46.8%,55.9%,42.0%,49.0%,0.95
vs Lefties,33,6,27,18.2%,23-56,29.1%,301-421,41.7%,4-3,57.1%,31,55.7%,27.7%,2.3%,4.4%,67.3%,58.2%,43.0%,53.2%,39.8%,46.5%,0.85
vs Top 10,38,6,32,15.8%,21-67,23.9%,314-487,39.2%,4-6,40.0%,37,60.9%,15.7%,2.4%,4.7%,66.1%,57.9%,43.3%,53.0%,37.1%,45.0%,0.79
