Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Bogota R32,L vs Chang,64.0%,43.8%,4.0%,2/1,2.42,15.2%,77.4%,45.8%,3.2%,2.44,22.6%,64.9%,41.7%,5.4%,2.40,0.0%
2018 Indian Wells R128,L vs Sabalenka,81.4%,45.6%,11.4%,5/3,2.49,2.6%,78.4%,41.4%,10.8%,2.48,3.7%,90.3%,50.0%,12.9%,2.50,0.0%
2016 Eastbourne R64,L vs Bouchard,63.8%,40.0%,10.6%,2/3,2.41,3.4%,69.2%,38.9%,7.7%,2.43,6.7%,66.7%,41.7%,16.7%,2.39,0.0%
2016 Brisbane QF,L vs Suarez Navarro,81.6%,51.2%,7.1%,0/7,2.32,12.9%,85.0%,45.1%,6.7%,2.39,17.7%,85.3%,62.1%,8.8%,2.18,3.2%
2016 Brisbane R32,W vs Schmiedlova,73.8%,55.6%,0.0%,0/0,2.24,21.2%,84.2%,46.9%,0.0%,2.31,35.0%,100.0%,76.9%,0.0%,2.11,0.0%
2015 Eastbourne R64,L vs Watson,74.3%,55.8%,1.4%,1/0,2.30,2.1%,70.7%,51.7%,0.0%,2.34,2.9%,85.2%,60.9%,3.7%,2.16,0.0%
2015 Birmingham R64,L vs Azarenka,50.0%,52.9%,10.3%,1/6,2.53,3.3%,40.5%,35.3%,11.9%,2.69,4.9%,85.0%,70.6%,10.0%,2.19,0.0%
2015 Roland Garros R128,L vs Keys,66.7%,54.3%,4.3%,2/1,2.60,0.0%,59.1%,53.8%,2.3%,2.59,0.0%,83.3%,55.0%,8.3%,2.61,0.0%
2015 Indian Wells R32,L vs Halep,74.0%,43.7%,5.2%,1/4,2.27,2.7%,80.8%,45.2%,1.9%,2.06,2.2%,78.4%,41.4%,10.8%,2.61,3.6%
2015 Indian Wells R64,W vs Vickery,77.0%,57.4%,1.6%,0/1,2.35,3.0%,81.8%,51.9%,0.0%,2.34,4.2%,83.3%,65.0%,4.2%,2.38,0.0%
2014 Luxembourg QF,L vs Allertova,74.0%,45.9%,1.0%,0/1,2.54,4.1%,78.5%,45.1%,1.5%,2.32,6.5%,79.3%,47.8%,0.0%,2.90,0.0%
2014 Tianjin QF,L vs Riske Amritraj,80.6%,43.1%,5.6%,1/3,2.40,3.2%,88.9%,42.5%,4.4%,2.30,4.9%,81.8%,44.4%,9.1%,2.59,0.0%
2014 Rome R16,L vs Williams,57.7%,50.0%,5.8%,0/3,2.50,0.0%,53.1%,41.2%,0.0%,2.54,0.0%,72.2%,61.5%,16.7%,2.45,0.0%
2013 Brisbane R32,L vs Svitolina,67.9%,47.4%,7.1%,2/2,2.29,5.1%,68.8%,50.0%,6.3%,2.21,10.0%,84.2%,43.8%,10.5%,2.38,0.0%
2012 Wimbledon R32,L vs Kvitova,54.3%,48.0%,8.7%,1/3,2.40,0.0%,59.4%,47.4%,12.5%,2.43,0.0%,54.5%,50.0%,0.0%,2.34,0.0%
Last 52 Weeks (1 matches),,64.0%,43.8%,4.0%,66.7%,2.42,15.2%,77.4%,45.8%,3.2%,2.44,22.6%,64.9%,41.7%,5.4%,2.40,0.0%
Career (15 matches),,70.6%,48.8%,5.4%,32.1%,2.40,5.9%,72.8%,45.7%,4.4%,2.39,8.7%,79.9%,53.6%,8.0%,2.44,0.7%
