Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,16,Hard,35,19,16,54.3%,7,6,1,85.7%,2006,2026,R32,29,1.00,3.4%,3.4%,66.6%,63.1%,45.5%,57.2%,42.9%,55.4%,49.5%
Roland Garros,16,Clay,37,21,16,56.8%,8,5,3,62.5%,2007,2025,R16,35,1.02,2.7%,3.6%,67.6%,60.7%,44.6%,55.5%,45.4%,58.4%,45.3%
Wimbledon,16,Grass,27,11,16,40.7%,7,6,1,85.7%,2007,2025,R32,23,0.90,3.9%,4.1%,68.3%,64.2%,49.1%,59.4%,36.4%,57.6%,35.0%
US Open,17,Hard,41,23,18,56.1%,11,6,5,54.5%,2005,2025,R16,31,1.00,3.1%,3.9%,65.2%,63.2%,48.0%,57.9%,42.3%,56.3%,44.1%
Olympics,1,,2,1,1,50.0%,1,0,1,0.0%,2012,2012,R32,2,0.97,6.5%,5.0%,70.6%,63.4%,54.2%,60.7%,38.1%,79.2%,35.3%
Fed Cup,1,,2,2,0,100.0%,0,0,0,-,2013,2013,,0,,,,,,,,,,
Miami,14,Hard,31,17,14,54.8%,8,3,5,37.5%,2004,2026,R16,25,0.98,2.0%,3.3%,67.6%,58.9%,48.1%,55.4%,43.8%,51.0%,44.7%
Indian Wells,15,Hard,31,16,15,51.6%,7,3,4,42.9%,2006,2026,R32,22,1.05,2.5%,3.5%,68.5%,61.0%,51.8%,58.1%,44.0%,59.6%,42.9%
Merida,3,Hard,7,4,3,57.1%,0,0,0,-,2024,2026,R16,7,1.02,4.4%,2.0%,66.3%,60.4%,46.7%,55.8%,45.0%,57.4%,45.5%
Buenos Aires 125,3,Clay,7,4,3,57.1%,2,2,0,100.0%,2023,2025,F,7,1.00,1.8%,3.0%,67.3%,57.0%,41.7%,52.0%,48.0%,40.0%,47.9%
Tampico 125,3,Hard,8,5,3,62.5%,3,2,1,66.7%,2023,2025,QF,8,0.96,3.9%,4.2%,63.2%,64.7%,49.5%,59.1%,39.4%,68.1%,39.3%
Beijing,9,Hard,17,8,9,47.1%,3,0,3,0.0%,2012,2025,R32,16,0.97,2.2%,3.9%,63.4%,60.7%,45.0%,55.0%,43.8%,51.9%,48.1%
